,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
0,1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,1995,7,3.0,851866703,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1,10,GoldenEye ,Action|Adventure|Thriller,113189,710.0,1995,7,3.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
8,112,Rumble in the Bronx ,Action|Adventure|Comedy|Crime,113326,33542.0,1995,7,4.0,851866720,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
13,260,Star Wars: Episode IV - A New Hope ,Action|Adventure|Sci-Fi,76759,11.0,1977,7,5.0,851869062,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
15,316,Stargate ,Action|Adventure|Sci-Fi,111282,2164.0,1994,7,2.0,851869161,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
17,329,Star Trek: Generations ,Adventure|Drama|Sci-Fi,111280,193.0,1994,7,3.0,851868524,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
23,364,"Lion King, The ",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587.0,1994,7,3.0,851868020,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
26,380,True Lies ,Action|Adventure|Comedy|Romance|Thriller,111503,36955.0,1994,7,4.0,851869291,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
27,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,7,4.0,851869161,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
33,588,Aladdin ,Adventure|Animation|Children|Comedy|Musical,103639,812.0,1992,7,4.0,851868044,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
35,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,7,4.0,851868186,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
39,610,Heavy Metal ,Action|Adventure|Animation|Horror|Sci-Fi,82509,11827.0,1981,7,3.0,851868074,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
43,736,Twister ,Action|Adventure|Romance|Thriller,117998,664.0,1996,7,1.0,851866704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
46,780,Independence Day ,Action|Adventure|Sci-Fi|Thriller,116629,602.0,1996,7,3.0,851866703,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
48,924,2001: A Space Odyssey ,Adventure|Drama|Sci-Fi,62622,62.0,1968,7,4.0,851868289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
55,1129,Escape from New York ,Action|Adventure|Sci-Fi|Thriller,82340,1103.0,1981,7,3.0,851869103,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
56,1136,Monty Python and the Holy Grail ,Adventure|Comedy|Fantasy,71853,762.0,1975,7,4.0,851867289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
58,1196,Star Wars: Episode V - The Empire Strikes Back ,Action|Adventure|Sci-Fi,80684,1891.0,1980,7,5.0,851869034,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
59,1197,"Princess Bride, The ",Action|Adventure|Comedy|Fantasy|Romance,93779,2493.0,1987,7,3.0,851867289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
60,1198,Raiders of the Lost Ark ,Action|Adventure,82971,85.0,1981,7,5.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
61,1210,Star Wars: Episode VI - Return of the Jedi ,Action|Adventure|Sci-Fi,86190,1892.0,1983,7,5.0,851869034,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
63,1223,"Grand Day Out with Wallace and Gromit, A ",Adventure|Animation|Children|Comedy|Sci-Fi,104361,530.0,1989,7,5.0,851868044,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
68,1270,Back to the Future ,Adventure|Comedy|Sci-Fi,88763,105.0,1985,7,3.0,851867436,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
69,1275,Highlander ,Action|Adventure|Fantasy,91203,8009.0,1986,7,4.0,851869080,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
71,1287,Ben-Hur ,Action|Adventure|Drama,52618,665.0,1959,7,4.0,851868332,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
73,1291,Indiana Jones and the Last Crusade ,Action|Adventure,97576,89.0,1989,7,3.0,851867320,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
78,1371,Star Trek: The Motion Picture ,Adventure|Sci-Fi,79945,152.0,1979,7,3.0,851869160,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
81,1374,Star Trek II: The Wrath of Khan ,Action|Adventure|Sci-Fi|Thriller,84726,154.0,1982,7,4.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
82,1375,Star Trek III: The Search for Spock ,Action|Adventure|Sci-Fi,88170,157.0,1984,7,3.0,851869140,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
83,1376,Star Trek IV: The Voyage Home ,Adventure|Comedy|Sci-Fi,92007,168.0,1986,7,3.0,851869062,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
85,1405,Beavis and Butt-Head Do America ,Adventure|Animation|Comedy|Crime,115641,3179.0,1996,7,5.0,851866978,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
87,1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,1995,9,4.0,938629179,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
99,733,"Rock, The ",Action|Adventure|Thriller,117500,9802.0,1996,9,2.0,938628337,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
114,2140,"Dark Crystal, The ",Adventure|Fantasy,83791,11639.0,1982,9,4.0,938629747,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
120,2294,Antz ,Adventure|Animation|Children|Comedy|Fantasy,120587,8916.0,1998,9,2.0,938629250,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
129,2628,Star Wars: Episode I - The Phantom Menace ,Action|Adventure|Sci-Fi,120915,1893.0,1999,9,3.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
131,2857,Yellow Submarine ,Adventure|Animation|Comedy|Fantasy|Musical,63823,12105.0,1968,9,4.0,938629681,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
132,1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,1995,13,5.0,1331380058,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
139,362,"Jungle Book, The ",Adventure|Children|Romance,110213,10714.0,1994,13,4.5,1331379479,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
140,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,13,3.0,1331380025,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
145,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,13,4.0,1331380062,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
147,919,"Wizard of Oz, The ",Adventure|Children|Fantasy|Musical,32138,630.0,1939,13,3.5,1331380871,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
148,1027,Robin Hood: Prince of Thieves ,Adventure|Drama,102798,8367.0,1991,13,3.0,1331379520,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
149,1259,Stand by Me ,Adventure|Drama,92005,235.0,1986,13,4.0,1331380814,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
153,2355,"Bug's Life, A ",Adventure|Animation|Children|Comedy,120623,9487.0,1998,13,4.0,1331380741,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
156,2761,"Iron Giant, The ",Adventure|Animation|Children|Drama|Sci-Fi,129167,10386.0,1999,13,4.0,1331379470,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
161,3114,Toy Story 2 ,Adventure|Animation|Children|Comedy|Fantasy,120363,863.0,1999,13,3.0,1331380738,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
164,3396,"Muppet Movie, The ",Adventure|Children|Comedy|Musical,79588,11176.0,1979,13,3.5,1331379599,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
165,3624,Shanghai Noon ,Action|Adventure|Comedy|Western,184894,8584.0,2000,13,3.0,1331379574,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
166,4306,Shrek ,Adventure|Animation|Children|Comedy|Fantasy|Romance,126029,808.0,2001,13,4.0,1331380721,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
171,4886,"Monsters, Inc. ",Adventure|Animation|Children|Comedy|Fantasy,198781,585.0,2001,13,3.5,1331380834,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
172,4993,"Lord of the Rings: The Fellowship of the Ring, The ",Adventure|Fantasy,120737,120.0,2001,13,4.5,1331380883,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
174,6377,Finding Nemo ,Adventure|Animation|Children|Comedy,266543,12.0,2003,13,4.5,1331380734,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
181,78499,Toy Story 3 ,Adventure|Animation|Children|Comedy|Fantasy|IMAX,435761,10193.0,2010,13,4.0,1331380725,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
182,81834,Harry Potter and the Deathly Hallows: Part 1 ,Action|Adventure|Fantasy|IMAX,926084,12444.0,2010,13,4.5,1331380387,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
183,88125,Harry Potter and the Deathly Hallows: Part 2 ,Action|Adventure|Drama|Fantasy|Mystery|IMAX,1201607,12445.0,2011,13,4.5,1331380390,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
184,93363,John Carter ,Action|Adventure|Sci-Fi|IMAX,401729,49529.0,2012,13,3.0,1331379985,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
185,1,Toy Story ,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,1995,15,2.0,997938310,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
186,2,Jumanji ,Adventure|Children|Fantasy,113497,8844.0,1995,15,2.0,1134521380,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
189,10,GoldenEye ,Action|Adventure|Thriller,113189,710.0,1995,15,3.0,1093028290,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
202,44,Mortal Kombat ,Action|Adventure|Fantasy,113855,9312.0,1995,15,3.0,1122576665,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
210,95,Broken Arrow ,Action|Adventure|Thriller,115759,9208.0,1996,15,1.5,1093028331,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
211,101,Bottle Rocket ,Adventure|Comedy|Crime|Romance,115734,13685.0,1996,15,4.0,1134522072,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
213,107,Muppet Treasure Island ,Adventure|Children|Comedy|Musical,117110,10874.0,1996,15,2.0,1166586594,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
216,112,Rumble in the Bronx ,Action|Adventure|Comedy|Crime,113326,33542.0,1995,15,2.5,1093070156,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
221,150,Apollo 13 ,Adventure|Drama|IMAX,112384,568.0,1995,15,3.0,997939380,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
222,153,Batman Forever ,Action|Adventure|Comedy|Crime,112462,414.0,1995,15,1.0,1128274517,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
224,160,Congo ,Action|Adventure|Mystery|Sci-Fi,112715,10329.0,1995,15,0.5,1093028411,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
230,170,Hackers ,Action|Adventure|Crime|Thriller,113243,10428.0,1995,15,2.5,1166586376,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
239,208,Waterworld ,Action|Adventure|Sci-Fi,114898,9804.0,1995,15,1.5,1193435482,2007,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
246,231,Dumb & Dumber ,Adventure|Comedy,109686,8467.0,1994,15,3.5,1093028308,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
