,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
2,21,Get Shorty ,Comedy|Crime|Thriller,113161,8012.0,1995,7,3.0,851867289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
8,112,Rumble in the Bronx ,Action|Adventure|Comedy|Crime,113326,33542.0,1995,7,4.0,851866720,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
11,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,7,2.0,851868704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
16,318,"Shawshank Redemption, The ",Crime|Drama,111161,278.0,1994,7,5.0,851868187,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
24,367,"Mask, The ",Action|Comedy|Crime|Fantasy,110475,854.0,1994,7,3.0,851867790,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
36,592,Batman ,Action|Crime|Thriller,96895,268.0,1989,7,3.0,851868863,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
49,1036,Die Hard ,Action|Crime|Thriller,95016,562.0,1988,7,3.0,851869102,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
51,1079,"Fish Called Wanda, A ",Comedy|Crime,95159,623.0,1988,7,4.0,851867320,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
54,1125,"Return of the Pink Panther, The ",Comedy|Crime,72081,11843.0,1975,7,3.0,851867553,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
57,1148,Wallace & Gromit: The Wrong Trousers ,Animation|Children|Comedy|Crime,108598,531.0,1993,7,5.0,851868019,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
85,1405,Beavis and Butt-Head Do America ,Adventure|Animation|Comedy|Crime,115641,3179.0,1996,7,5.0,851866978,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
90,36,Dead Man Walking ,Crime|Drama,112818,687.0,1995,9,5.0,938629110,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
92,318,"Shawshank Redemption, The ",Crime|Drama,111161,278.0,1994,9,4.0,938628966,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
97,593,"Silence of the Lambs, The ",Crime|Horror|Thriller,102926,274.0,1991,9,4.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
98,608,Fargo ,Comedy|Crime|Drama|Thriller,116282,275.0,1996,9,5.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
104,1411,Hamlet ,Crime|Drama|Romance,116477,10549.0,1996,9,3.0,938628655,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
116,2268,"Few Good Men, A ",Crime|Drama|Thriller,104257,881.0,1992,9,3.0,938629053,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
117,2273,Rush Hour ,Action|Comedy|Crime|Thriller,120812,2109.0,1998,9,3.0,938628777,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
118,2278,Ronin ,Action|Crime|Thriller,122690,8195.0,1998,9,4.0,938628897,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
122,2391,"Simple Plan, A ",Crime|Drama|Thriller,120324,10223.0,1998,9,4.0,939122916,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
136,296,Pulp Fiction ,Comedy|Crime|Drama|Thriller,110912,680.0,1994,13,3.5,1331380895,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
137,318,"Shawshank Redemption, The ",Crime|Drama,111161,278.0,1994,13,4.5,1331380029,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
151,1918,Lethal Weapon 4 ,Action|Comedy|Crime|Thriller,122151,944.0,1998,13,3.0,1331379386,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
162,3147,"Green Mile, The ",Crime|Drama,120689,497.0,1999,13,4.0,1331380752,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
173,5989,Catch Me If You Can ,Crime|Drama,264464,640.0,2002,13,4.0,1331380785,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
177,54286,"Bourne Ultimatum, The ",Action|Crime|Thriller,440963,2503.0,2007,13,3.5,1331380782,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
178,58559,"Dark Knight, The ",Action|Crime|Drama|IMAX,468569,155.0,2008,13,4.5,1331380873,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
179,64614,Gran Torino ,Crime|Drama,1205489,13223.0,2008,13,4.5,1331380830,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
188,6,Heat ,Action|Crime|Thriller,113277,949.0,1995,15,4.0,1040205753,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
192,16,Casino ,Crime|Drama,112641,524.0,1995,15,3.5,1093070150,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
195,21,Get Shorty ,Comedy|Crime|Thriller,113161,8012.0,1995,15,4.5,1058249528,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
196,22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,1995,15,2.5,1093070415,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
200,36,Dead Man Walking ,Crime|Drama,112818,687.0,1995,15,1.0,1033345287,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
204,50,"Usual Suspects, The ",Crime|Mystery|Thriller,114814,629.0,1995,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
211,101,Bottle Rocket ,Adventure|Comedy|Crime|Romance,115734,13685.0,1996,15,4.0,1134522072,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
215,111,Taxi Driver ,Crime|Drama|Thriller,75314,103.0,1976,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
216,112,Rumble in the Bronx ,Action|Adventure|Comedy|Crime,113326,33542.0,1995,15,2.5,1093070156,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
219,145,Bad Boys ,Action|Comedy|Crime|Drama|Thriller,112442,9737.0,1995,15,3.5,1134521543,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
220,149,Amateur ,Crime|Drama|Thriller,109093,30157.0,1994,15,5.0,1075142933,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
222,153,Batman Forever ,Action|Adventure|Comedy|Crime,112462,414.0,1995,15,1.0,1128274517,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
228,164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,112857,8512.0,1995,15,4.0,997938413,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
229,165,Die Hard: With a Vengeance ,Action|Crime|Thriller,112864,1572.0,1995,15,3.0,1093028183,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
230,170,Hackers ,Action|Adventure|Crime|Thriller,113243,10428.0,1995,15,2.5,1166586376,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
235,185,"Net, The ",Action|Crime|Thriller,113957,1642.0,1995,15,2.0,1052896916,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
238,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,15,1.5,1134521967,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
252,247,Heavenly Creatures ,Crime|Drama,110005,1024.0,1994,15,2.0,997938567,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
257,288,Natural Born Killers ,Action|Crime|Thriller,110632,241.0,1994,15,2.0,1093028372,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
259,293,Léon: The Professional ,Action|Crime|Drama|Thriller,110413,101.0,1994,15,5.0,997938567,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
