,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
226,162,Crumb ,Documentary,109508,26564.0,1994,15,4.0,997938676,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
251,246,Hoop Dreams ,Documentary,110057,14275.0,1994,15,5.0,997938656,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
319,556,"War Room, The ",Documentary,108515,26408.0,1993,15,3.5,1361078504,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
407,1147,When We Were Kings ,Documentary,118147,10548.0,1996,15,3.5,1386368101,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
416,1189,"Thin Blue Line, The ",Documentary,96257,14285.0,1988,15,3.5,1361078481,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
479,1289,Koyaanisqatsi ,Documentary,85809,11314.0,1983,15,4.0,1465793922,2016,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
495,1361,Paradise Lost: The Child Murders at Robin Hood Hills ,Documentary,117293,17204.0,1996,15,3.5,1361078494,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
543,1649,"Fast, Cheap & Out of Control ",Documentary,119107,25099.0,1997,15,2.0,997938647,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
574,1827,"Big One, The ",Comedy|Documentary,124295,1774.0,1997,15,4.0,997938676,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
624,2064,Roger & Me ,Documentary,98213,1779.0,1989,15,4.5,1338698431,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
784,3007,American Movie ,Documentary,181288,14242.0,1999,15,2.5,1361078485,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
795,3077,42 Up ,Documentary,164312,20565.0,1998,15,3.0,1033345241,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
822,3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. ",Documentary,192335,28216.0,1999,15,2.0,997937726,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
958,3989,One Day in September ,Documentary,230591,34045.0,1999,15,3.0,997937700,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1173,5669,Bowling for Columbine ,Documentary,310793,1430.0,2002,15,4.0,1046209630,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1212,6299,Winged Migration ,Documentary,301727,11516.0,2001,15,2.5,1075142952,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1214,6327,"Decade Under the Influence, A ",Documentary,342275,38868.0,2003,15,4.0,1084489307,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1215,6331,Spellbound ,Documentary,334405,16636.0,2002,15,3.0,1120208617,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1221,6380,Capturing the Friedmans ,Documentary,342172,2260.0,2003,15,3.0,1166585438,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1223,6433,"Man with the Movie Camera, The ",Documentary,19760,26317.0,1929,15,3.0,1465793939,2016,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1280,7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The ",Documentary|War,317910,12698.0,2003,15,3.0,1120209458,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1301,7484,Gimme Shelter ,Documentary,65780,132.0,1970,15,4.0,1338698422,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1309,8011,"Weather Underground, The ",Documentary,343168,14108.0,2002,15,2.0,1093027976,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1310,8264,Grey Gardens ,Documentary,73076,17346.0,1975,15,4.0,1465793979,2016,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1316,8464,Super Size Me ,Comedy|Documentary|Drama,390521,9372.0,2004,15,3.0,1416119547,2014,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1320,8581,Pirates of Silicon Valley ,Documentary|Drama,168122,3293.0,1999,15,2.5,1361078268,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
