,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
228,164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,112857,8512.0,1995,15,4.0,997938413,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
372,913,"Maltese Falcon, The ",Film-Noir|Mystery,33870,963.0,1941,15,4.0,1416119525,2014,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
377,922,Sunset Blvd. ,Drama|Film-Noir|Romance,43014,599.0,1950,15,1.0,1040205624,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
413,1179,"Grifters, The ",Crime|Drama|Film-Noir,99703,18129.0,1990,15,4.0,1033344257,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
432,1212,"Third Man, The ",Film-Noir|Mystery|Thriller,41959,1092.0,1949,15,3.0,1166586696,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
455,1248,Touch of Evil ,Crime|Film-Noir|Thriller,52311,1480.0,1958,15,3.0,997938509,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
459,1252,Chinatown ,Crime|Film-Noir|Mystery|Thriller,71315,829.0,1974,15,5.0,997938346,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
463,1260,M ,Crime|Film-Noir|Thriller,22100,832.0,1931,15,3.0,997938981,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
476,1284,"Big Sleep, The ",Crime|Film-Noir|Mystery,38355,910.0,1946,15,3.0,1345397986,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
508,1464,Lost Highway ,Crime|Drama|Fantasy|Film-Noir|Mystery|Romance,116922,638.0,1997,15,4.0,997938391,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
537,1617,L.A. Confidential ,Crime|Film-Noir|Mystery|Thriller,119488,2118.0,1997,15,5.0,997938346,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
562,1748,Dark City ,Adventure|Film-Noir|Sci-Fi|Thriller,118929,2666.0,1998,15,4.0,997938451,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
641,2186,Strangers on a Train ,Crime|Drama|Film-Noir|Thriller,44079,845.0,1951,15,3.0,997938528,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
742,2726,"Killing, The ",Crime|Film-Noir,49406,247.0,1956,15,2.5,1054450195,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
861,3435,Double Indemnity ,Crime|Drama|Film-Noir,36775,996.0,1944,15,2.5,1054450188,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
902,3683,Blood Simple ,Crime|Drama|Film-Noir,86979,11368.0,1984,15,4.0,997938800,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
905,3728,One False Move ,Crime|Drama|Film-Noir|Thriller,102592,21128.0,1992,15,4.0,1443385280,2015,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
986,4037,House of Games ,Crime|Film-Noir|Mystery|Thriller,93223,26719.0,1987,15,3.0,997938372,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1075,4848,Mulholland Drive ,Crime|Drama|Film-Noir|Mystery|Thriller,166924,1018.0,2001,15,2.0,1054449351,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1368,32587,Sin City ,Action|Crime|Film-Noir|Mystery|Thriller,401792,187.0,2005,15,3.5,1136087271,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1404,44761,Brick ,Crime|Drama|Film-Noir|Mystery,393109,9270.0,2005,15,1.5,1357109999,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1622,88129,Drive ,Crime|Drama|Film-Noir|Thriller,780504,64690.0,2011,15,2.5,1338698356,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2112,913,"Maltese Falcon, The ",Film-Noir|Mystery,33870,963.0,1941,19,5.0,855191654,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
