,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
39,610,Heavy Metal ,Action|Adventure|Animation|Horror|Sci-Fi,82509,11827.0,1981,7,3.0,851868074,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
42,724,"Craft, The ",Drama|Fantasy|Horror|Thriller,115963,9100.0,1996,7,2.0,851866784,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
97,593,"Silence of the Lambs, The ",Crime|Horror|Thriller,102926,274.0,1991,9,4.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
130,2762,"Sixth Sense, The ",Drama|Horror|Mystery,167404,745.0,1999,9,4.0,938627748,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
157,2762,"Sixth Sense, The ",Drama|Horror|Mystery,167404,745.0,1999,13,3.0,1331380765,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
196,22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,1995,15,2.5,1093070415,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
207,70,From Dusk Till Dawn ,Action|Comedy|Horror|Thriller,116367,755.0,1996,15,0.5,1093070467,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
237,196,Species ,Horror|Sci-Fi,114508,9348.0,1995,15,2.0,1093070170,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
254,253,Interview with the Vampire: The Vampire Chronicles ,Drama|Horror,110148,628.0,1994,15,2.0,1093028328,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
287,382,Wolf ,Drama|Horror|Romance|Thriller,111742,10395.0,1994,15,3.5,1166586661,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
328,593,"Silence of the Lambs, The ",Crime|Horror|Thriller,102926,274.0,1991,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
