,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
23,364,"Lion King, The ",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587.0,1994,7,3.0,851868020,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
32,551,"Nightmare Before Christmas, The ",Animation|Children|Fantasy|Musical,107688,9479.0,1993,7,4.0,851868019,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
33,588,Aladdin ,Adventure|Animation|Children|Comedy|Musical,103639,812.0,1992,7,4.0,851868044,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
37,594,Snow White and the Seven Dwarfs ,Animation|Children|Drama|Fantasy|Musical,29583,408.0,1937,7,4.0,851868020,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
38,595,Beauty and the Beast ,Animation|Children|Fantasy|Musical|Romance|IMAX,101414,10020.0,1991,7,3.0,851868044,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
50,1073,Willy Wonka & the Chocolate Factory ,Children|Comedy|Fantasy|Musical,67992,252.0,1971,7,3.0,851866744,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
62,1220,"Blues Brothers, The ",Action|Comedy|Musical,80455,525.0,1980,7,4.0,851867379,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
74,1298,Pink Floyd: The Wall ,Drama|Musical,84503,12104.0,1982,7,3.0,851868471,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
131,2857,Yellow Submarine ,Adventure|Animation|Comedy|Fantasy|Musical,63823,12105.0,1968,9,4.0,938629681,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
146,914,My Fair Lady ,Comedy|Drama|Musical|Romance,58385,11113.0,1964,13,4.0,1331379366,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
147,919,"Wizard of Oz, The ",Adventure|Children|Fantasy|Musical,32138,630.0,1939,13,3.5,1331380871,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
164,3396,"Muppet Movie, The ",Adventure|Children|Comedy|Musical,79588,11176.0,1979,13,3.5,1331379599,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
213,107,Muppet Treasure Island ,Adventure|Children|Comedy|Musical,117110,10874.0,1996,15,2.0,1166586594,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
279,364,"Lion King, The ",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587.0,1994,15,4.0,997939065,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
316,549,Thirty-Two Short Films About Glenn Gould ,Drama|Musical,108328,20967.0,1993,15,5.0,997938676,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
317,551,"Nightmare Before Christmas, The ",Animation|Children|Fantasy|Musical,107688,9479.0,1993,15,2.0,997939055,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
324,588,Aladdin ,Adventure|Animation|Children|Comedy|Musical,103639,812.0,1992,15,0.5,1093028161,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
329,594,Snow White and the Seven Dwarfs ,Animation|Children|Drama|Fantasy|Musical,29583,408.0,1937,15,2.5,1245021392,2009,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
364,899,Singin' in the Rain ,Comedy|Musical|Romance,45152,872.0,1952,15,5.0,1058250570,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
