,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
11,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,7,2.0,851868704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
79,1372,Star Trek VI: The Undiscovered Country ,Action|Mystery|Sci-Fi,102975,174.0,1991,7,3.0,851869102,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
91,47,Seven ,Mystery|Thriller,114369,807.0,1995,9,3.0,938628897,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
130,2762,"Sixth Sense, The ",Drama|Horror|Mystery,167404,745.0,1999,9,4.0,938627748,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
133,47,Seven ,Mystery|Thriller,114369,807.0,1995,13,2.5,1331380914,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
157,2762,"Sixth Sense, The ",Drama|Horror|Mystery,167404,745.0,1999,13,3.0,1331380765,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
170,4878,Donnie Darko ,Drama|Mystery|Sci-Fi|Thriller,246578,141.0,2001,13,4.5,1331380145,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
183,88125,Harry Potter and the Deathly Hallows: Part 2 ,Action|Adventure|Drama|Fantasy|Mystery|IMAX,1201607,12445.0,2011,13,4.5,1331380390,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
196,22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,1995,15,2.5,1093070415,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
198,32,Twelve Monkeys ,Mystery|Sci-Fi|Thriller,114746,63.0,1995,15,4.0,997938466,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
203,47,Seven ,Mystery|Thriller,114369,807.0,1995,15,5.0,1054449816,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
204,50,"Usual Suspects, The ",Crime|Mystery|Thriller,114814,629.0,1995,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
217,123,Chungking Express ,Drama|Mystery|Romance,109424,11104.0,1994,15,4.0,997938358,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
224,160,Congo ,Action|Adventure|Mystery|Sci-Fi,112715,10329.0,1995,15,0.5,1093028411,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
228,164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,112857,8512.0,1995,15,4.0,997938413,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
238,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,15,1.5,1134521967,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
270,335,Underneath ,Mystery|Thriller,114788,36141.0,1995,15,2.0,997938391,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
333,628,Primal Fear ,Crime|Drama|Mystery|Thriller,117381,1592.0,1996,15,2.5,1093070326,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
