,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
10,151,Rob Roy ,Action|Drama|Romance|War,114287,11780.0,1995,7,4.0,851868206,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
12,207,"Walk in the Clouds, A ",Drama|Romance,114887,9560.0,1995,7,3.0,851868705,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
21,356,Forrest Gump ,Comedy|Drama|Romance|War,109830,13.0,1994,7,3.0,851868188,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
22,357,Four Weddings and a Funeral ,Comedy|Romance,109831,712.0,1994,7,3.0,851867436,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
25,377,Speed ,Action|Romance|Thriller,111257,1637.0,1994,7,3.0,851869291,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
26,380,True Lies ,Action|Adventure|Comedy|Romance|Thriller,111503,36955.0,1994,7,4.0,851869291,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
29,534,Shadowlands ,Drama|Romance,108101,10445.0,1993,7,4.0,851868246,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
30,539,Sleepless in Seattle ,Comedy|Drama|Romance,108160,858.0,1993,7,3.0,851867688,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
38,595,Beauty and the Beast ,Animation|Children|Fantasy|Musical|Romance|IMAX,101414,10020.0,1991,7,3.0,851868044,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
41,708,"Truth About Cats & Dogs, The ",Comedy|Romance,117979,8866.0,1996,7,3.0,851866744,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
43,736,Twister ,Action|Adventure|Romance|Thriller,117998,664.0,1996,7,1.0,851866704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
59,1197,"Princess Bride, The ",Action|Adventure|Comedy|Fantasy|Romance,93779,2493.0,1987,7,3.0,851867289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
76,1307,When Harry Met Sally... ,Comedy|Romance,98635,639.0,1989,7,3.0,851867401,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
77,1353,"Mirror Has Two Faces, The ",Comedy|Drama|Romance,117057,25189.0,1996,7,3.0,851866935,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
86,1408,"Last of the Mohicans, The ",Action|Romance|War|Western,104691,9361.0,1992,7,1.0,851869140,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
88,17,Sense and Sensibility ,Drama|Romance,114388,4584.0,1995,9,4.0,938628337,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
93,497,Much Ado About Nothing ,Comedy|Romance,107616,11971.0,1993,9,4.0,938628777,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
94,515,"Remains of the Day, The ",Drama|Romance,107943,1245.0,1993,9,4.0,938628577,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
96,534,Shadowlands ,Drama|Romance,108101,10445.0,1993,9,5.0,938628337,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
100,1059,William Shakespeare's Romeo + Juliet ,Drama|Romance,117509,454.0,1996,9,5.0,938629250,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
101,1177,Enchanted April ,Drama|Romance,101811,26561.0,1992,9,3.0,938629470,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
