,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
11,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,7,2.0,851868704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
13,260,Star Wars: Episode IV - A New Hope ,Action|Adventure|Sci-Fi,76759,11.0,1977,7,5.0,851869062,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
15,316,Stargate ,Action|Adventure|Sci-Fi,111282,2164.0,1994,7,2.0,851869161,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
17,329,Star Trek: Generations ,Adventure|Drama|Sci-Fi,111280,193.0,1994,7,3.0,851868524,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
27,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,7,4.0,851869161,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
31,541,Blade Runner ,Action|Sci-Fi|Thriller,83658,78.0,1982,7,4.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
34,589,Terminator 2: Judgment Day ,Action|Sci-Fi,103064,280.0,1991,7,3.0,851869140,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
39,610,Heavy Metal ,Action|Adventure|Animation|Horror|Sci-Fi,82509,11827.0,1981,7,3.0,851868074,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
40,671,Mystery Science Theater 3000: The Movie ,Comedy|Sci-Fi,117128,3065.0,1996,7,4.0,851866806,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
44,737,Barb Wire ,Action|Sci-Fi,115624,11867.0,1996,7,1.0,851866763,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
