,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
1,10,GoldenEye ,Action|Adventure|Thriller,113189,710.0,1995,7,3.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2,21,Get Shorty ,Comedy|Crime|Thriller,113161,8012.0,1995,7,3.0,851867289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
11,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,7,2.0,851868704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
25,377,Speed ,Action|Romance|Thriller,111257,1637.0,1994,7,3.0,851869291,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
26,380,True Lies ,Action|Adventure|Comedy|Romance|Thriller,111503,36955.0,1994,7,4.0,851869291,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
27,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,7,4.0,851869161,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
31,541,Blade Runner ,Action|Sci-Fi|Thriller,83658,78.0,1982,7,4.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
36,592,Batman ,Action|Crime|Thriller,96895,268.0,1989,7,3.0,851868863,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
42,724,"Craft, The ",Drama|Fantasy|Horror|Thriller,115963,9100.0,1996,7,2.0,851866784,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
43,736,Twister ,Action|Adventure|Romance|Thriller,117998,664.0,1996,7,1.0,851866704,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
46,780,Independence Day ,Action|Adventure|Sci-Fi|Thriller,116629,602.0,1996,7,3.0,851866703,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
47,786,Eraser ,Action|Drama|Thriller,116213,9268.0,1996,7,2.0,851866744,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
49,1036,Die Hard ,Action|Crime|Thriller,95016,562.0,1988,7,3.0,851869102,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
55,1129,Escape from New York ,Action|Adventure|Sci-Fi|Thriller,82340,1103.0,1981,7,3.0,851869103,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
66,1240,"Terminator, The ",Action|Sci-Fi|Thriller,88247,218.0,1984,7,4.0,851869062,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
81,1374,Star Trek II: The Wrath of Khan ,Action|Adventure|Sci-Fi|Thriller,84726,154.0,1982,7,4.0,851869035,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
91,47,Seven ,Mystery|Thriller,114369,807.0,1995,9,3.0,938628897,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
97,593,"Silence of the Lambs, The ",Crime|Horror|Thriller,102926,274.0,1991,9,4.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
98,608,Fargo ,Comedy|Crime|Drama|Thriller,116282,275.0,1996,9,5.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
99,733,"Rock, The ",Action|Adventure|Thriller,117500,9802.0,1996,9,2.0,938628337,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
116,2268,"Few Good Men, A ",Crime|Drama|Thriller,104257,881.0,1992,9,3.0,938629053,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
117,2273,Rush Hour ,Action|Comedy|Crime|Thriller,120812,2109.0,1998,9,3.0,938628777,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
118,2278,Ronin ,Action|Crime|Thriller,122690,8195.0,1998,9,4.0,938628897,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
122,2391,"Simple Plan, A ",Crime|Drama|Thriller,120324,10223.0,1998,9,4.0,939122916,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
125,2490,Payback ,Action|Thriller,120784,2112.0,1999,9,3.0,938629681,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
128,2571,"Matrix, The ",Action|Sci-Fi|Thriller,133093,603.0,1999,9,5.0,938628450,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
133,47,Seven ,Mystery|Thriller,114369,807.0,1995,13,2.5,1331380914,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
136,296,Pulp Fiction ,Comedy|Crime|Drama|Thriller,110912,680.0,1994,13,3.5,1331380895,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
140,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,13,3.0,1331380025,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
144,587,Ghost ,Comedy|Drama|Fantasy|Romance|Thriller,99653,251.0,1990,13,3.0,1331380851,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
151,1918,Lethal Weapon 4 ,Action|Comedy|Crime|Thriller,122151,944.0,1998,13,3.0,1331379386,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
154,2571,"Matrix, The ",Action|Sci-Fi|Thriller,133093,603.0,1999,13,3.0,1331380888,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
170,4878,Donnie Darko ,Drama|Mystery|Sci-Fi|Thriller,246578,141.0,2001,13,4.5,1331380145,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
177,54286,"Bourne Ultimatum, The ",Action|Crime|Thriller,440963,2503.0,2007,13,3.5,1331380782,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
188,6,Heat ,Action|Crime|Thriller,113277,949.0,1995,15,4.0,1040205753,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
189,10,GoldenEye ,Action|Adventure|Thriller,113189,710.0,1995,15,3.0,1093028290,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
195,21,Get Shorty ,Comedy|Crime|Thriller,113161,8012.0,1995,15,4.5,1058249528,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
196,22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,1995,15,2.5,1093070415,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
198,32,Twelve Monkeys ,Mystery|Sci-Fi|Thriller,114746,63.0,1995,15,4.0,997938466,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
203,47,Seven ,Mystery|Thriller,114369,807.0,1995,15,5.0,1054449816,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
204,50,"Usual Suspects, The ",Crime|Mystery|Thriller,114814,629.0,1995,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
207,70,From Dusk Till Dawn ,Action|Comedy|Horror|Thriller,116367,755.0,1996,15,0.5,1093070467,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
210,95,Broken Arrow ,Action|Adventure|Thriller,115759,9208.0,1996,15,1.5,1093028331,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
215,111,Taxi Driver ,Crime|Drama|Thriller,75314,103.0,1976,15,5.0,997938500,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
219,145,Bad Boys ,Action|Comedy|Crime|Drama|Thriller,112442,9737.0,1995,15,3.5,1134521543,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
220,149,Amateur ,Crime|Drama|Thriller,109093,30157.0,1994,15,5.0,1075142933,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
225,161,Crimson Tide ,Drama|Thriller|War,112740,8963.0,1995,15,3.0,1093028319,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
228,164,Devil in a Blue Dress ,Crime|Film-Noir|Mystery|Thriller,112857,8512.0,1995,15,4.0,997938413,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
229,165,Die Hard: With a Vengeance ,Action|Crime|Thriller,112864,1572.0,1995,15,3.0,1093028183,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
230,170,Hackers ,Action|Adventure|Crime|Thriller,113243,10428.0,1995,15,2.5,1166586376,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
231,172,Johnny Mnemonic ,Action|Sci-Fi|Thriller,113481,9886.0,1995,15,1.0,1093070329,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
235,185,"Net, The ",Action|Crime|Thriller,113957,1642.0,1995,15,2.0,1052896916,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
238,198,Strange Days ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,1995,15,1.5,1134521967,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
244,225,Disclosure ,Drama|Thriller,109635,8984.0,1994,15,1.0,1134521432,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
245,230,Dolores Claiborne ,Drama|Thriller,109642,11929.0,1995,15,1.0,1033345068,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
257,288,Natural Born Killers ,Action|Crime|Thriller,110632,241.0,1994,15,2.0,1093028372,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
258,292,Outbreak ,Action|Drama|Sci-Fi|Thriller,114069,6950.0,1995,15,1.0,1093028298,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
259,293,Léon: The Professional ,Action|Crime|Drama|Thriller,110413,101.0,1994,15,5.0,997938567,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
260,296,Pulp Fiction ,Comedy|Crime|Drama|Thriller,110912,680.0,1994,15,5.0,997938771,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
270,335,Underneath ,Mystery|Thriller,114788,36141.0,1995,15,2.0,997938391,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
274,349,Clear and Present Danger ,Action|Crime|Drama|Thriller,109444,9331.0,1994,15,3.0,997939193,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
275,353,"Crow, The ",Action|Crime|Fantasy|Thriller,109506,9495.0,1994,15,3.0,1093070088,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
284,373,Red Rock West ,Thriller,105226,10427.0,1992,15,3.5,1054449871,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
285,377,Speed ,Action|Romance|Thriller,111257,1637.0,1994,15,4.0,1033344267,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
286,380,True Lies ,Action|Adventure|Comedy|Romance|Thriller,111503,36955.0,1994,15,4.0,997939179,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
287,382,Wolf ,Drama|Horror|Romance|Thriller,111742,10395.0,1994,15,3.5,1166586661,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
290,434,Cliffhanger ,Action|Adventure|Thriller,106582,9350.0,1993,15,3.0,1093028320,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
295,454,"Firm, The ",Drama|Thriller,106918,37233.0,1993,15,3.0,1093028323,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
296,457,"Fugitive, The ",Thriller,106977,5503.0,1993,15,5.0,997938567,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
299,474,In the Line of Fire ,Action|Thriller,107206,9386.0,1993,15,3.0,1093028384,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
300,480,Jurassic Park ,Action|Adventure|Sci-Fi|Thriller,107290,329.0,1993,15,3.0,997939193,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
301,481,Kalifornia ,Drama|Thriller,107302,10909.0,1993,15,3.0,1166586748,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
304,494,Executive Decision ,Action|Adventure|Thriller,116253,2320.0,1996,15,4.0,1093028414,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
