,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
7,110,Braveheart ,Action|Drama|War,112573,197.0,1995,7,5.0,851868188,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
10,151,Rob Roy ,Action|Drama|Romance|War,114287,11780.0,1995,7,4.0,851868206,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
21,356,Forrest Gump ,Comedy|Drama|Romance|War,109830,13.0,1994,7,3.0,851868188,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
67,1242,Glory ,Drama|War,97441,9665.0,1989,7,5.0,851868289,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
86,1408,"Last of the Mohicans, The ",Action|Romance|War|Western,104691,9361.0,1992,7,1.0,851869140,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
95,527,Schindler's List ,Drama|War,108052,424.0,1993,9,5.0,938628843,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
112,2028,Saving Private Ryan ,Action|Drama|War,120815,857.0,1998,9,4.0,938629341,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
124,2427,"Thin Red Line, The ",Action|Drama|War,120863,8741.0,1998,9,2.0,938629681,1999,M,25,17,61614,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
134,110,Braveheart ,Action|Drama|War,112573,197.0,1995,13,4.0,1331380038,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
138,356,Forrest Gump ,Comedy|Drama|Romance|War,109830,13.0,1994,13,5.0,1331380018,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
142,527,Schindler's List ,Drama|War,108052,424.0,1993,13,4.0,1331380901,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
167,4310,Pearl Harbor ,Action|Drama|Romance|War,213149,676.0,2001,13,4.5,1331379506,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
176,7502,Band of Brothers ,Action|Drama|War,185906,191903.0,2001,13,4.5,1331380306,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
214,110,Braveheart ,Action|Drama|War,112573,197.0,1995,15,3.0,1040205792,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
223,157,Canadian Bacon ,Comedy|War,109370,1775.0,1995,15,2.0,1052896975,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
225,161,Crimson Tide ,Drama|Thriller|War,112740,8963.0,1995,15,3.0,1093028319,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
240,214,Before the Rain ,Drama|War,110882,19155.0,1994,15,2.0,1033345241,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
277,356,Forrest Gump ,Comedy|Drama|Romance|War,109830,13.0,1994,15,1.0,1058250631,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
297,466,Hot Shots! Part Deux ,Action|Comedy|War,107144,9255.0,1993,15,2.5,1134521456,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
310,527,Schindler's List ,Drama|War,108052,424.0,1993,15,4.0,997937239,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
334,647,Courage Under Fire ,Action|Crime|Drama|War,115956,10684.0,1996,15,1.5,1134521628,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
337,665,Underground ,Comedy|Drama|War,114787,11902.0,1995,15,3.0,997939348,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
346,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Comedy|War,57012,935.0,1964,15,4.0,997938438,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
376,920,Gone with the Wind ,Drama|Romance|War,31381,770.0,1939,15,3.5,1093070090,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
412,1178,Paths of Glory ,Drama|War,50825,975.0,1957,15,3.0,997938771,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
414,1183,"English Patient, The ",Drama|Romance|War,116209,409.0,1996,15,2.0,1443384910,2015,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
425,1204,Lawrence of Arabia ,Adventure|Drama|War,56172,947.0,1962,15,2.0,997939111,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
428,1208,Apocalypse Now ,Action|Drama|War,78788,28.0,1979,15,5.0,997938822,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
436,1217,Ran ,Drama|War,89881,11645.0,1985,15,2.0,1055439440,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
441,1222,Full Metal Jacket ,Drama|War,93058,600.0,1987,15,4.0,997939614,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
447,1233,"Boot, Das ",Action|Drama|War,82096,387.0,1981,15,3.0,997938727,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
457,1250,"Bridge on the River Kwai, The ",Adventure|Drama|War,50212,826.0,1957,15,4.0,997938760,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
464,1262,"Great Escape, The ",Action|Adventure|Drama|War,57115,5925.0,1963,15,1.5,1134521651,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
465,1263,"Deer Hunter, The ",Drama|War,77416,11778.0,1978,15,4.0,1120208625,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
