,movieId,title,genres,imdbId,tmdbId,year,userId,rating,timestamp,date,gender,age,occupation,zipcode,cmd
35,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,7,4.0,851868186,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
86,1408,"Last of the Mohicans, The ",Action|Romance|War|Western,104691,9361.0,1992,7,1.0,851869140,1996,M,35,1,6810,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
145,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,13,4.0,1331380062,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
165,3624,Shanghai Noon ,Action|Adventure|Comedy|Western,184894,8584.0,2000,13,3.0,1331379574,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
168,4321,City Slickers ,Comedy|Western,101587,1406.0,1991,13,2.5,1331379589,2012,M,45,1,93304,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
227,163,Desperado ,Action|Romance|Western,112851,8068.0,1995,15,2.0,1166586021,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
326,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,15,3.0,1093028142,2004,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
355,800,Lone Star ,Drama|Mystery|Western,116905,26748.0,1996,15,5.0,997938391,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
423,1201,"Good, the Bad and the Ugly, The ",Action|Adventure|Western,60196,429.0,1966,15,3.5,1345398232,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
429,1209,Once Upon a Time in the West ,Action|Drama|Western,64116,335.0,1968,15,4.5,1345398245,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
460,1254,"Treasure of the Sierra Madre, The ",Action|Adventure|Drama|Western,40897,3090.0,1948,15,3.5,1345398347,2012,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
468,1266,Unforgiven ,Drama|Western,105695,33.0,1992,15,4.0,997939360,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
475,1283,High Noon ,Drama|Western,44706,288.0,1952,15,3.0,1416120074,2014,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
486,1304,Butch Cassidy and the Sundance Kid ,Action|Western,64115,642.0,1969,15,3.0,1040205753,2002,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
614,2012,Back to the Future Part III ,Adventure|Comedy|Sci-Fi|Western,99088,196.0,1990,15,1.0,1046209705,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
692,2478,¡Three Amigos! ,Comedy|Western,92086,8388.0,1986,15,4.0,1122576699,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
729,2701,Wild Wild West ,Action|Comedy|Sci-Fi|Western,120891,8487.0,1999,15,1.0,1245361903,2009,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
836,3267,"Mariachi, El ",Action|Crime|Thriller|Western,104815,9367.0,1992,15,3.0,1063565307,2003,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
894,3624,Shanghai Noon ,Action|Adventure|Comedy|Western,184894,8584.0,2000,15,2.0,1122576735,2005,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
901,3671,Blazing Saddles ,Comedy|Western,71230,11072.0,1974,15,2.0,1166586157,2006,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1020,4321,City Slickers ,Comedy|Western,101587,1406.0,1991,15,2.0,997939193,2001,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1467,56782,There Will Be Blood ,Drama|Western,469494,7345.0,2007,15,1.0,1416119686,2014,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1596,83613,Cowboys & Aliens ,Action|Sci-Fi|Thriller|Western|IMAX,409847,49849.0,2011,15,0.5,1367765123,2013,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1698,99114,Django Unchained ,Action|Drama|Western,1853728,68718.0,2012,15,1.5,1425876390,2015,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1816,128360,The Hateful Eight ,Western,3460252,273248.0,2015,15,2.5,1458505982,2016,M,25,7,22903,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
1962,266,Legends of the Fall ,Drama|Romance|War|Western,110322,4476.0,1994,19,1.0,855194773,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2010,383,Wyatt Earp ,Western,111756,12160.0,1994,19,3.0,855193914,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2069,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,19,3.0,855191289,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2076,599,"Wild Bunch, The ",Adventure|Western,65214,576.0,1969,19,4.0,855192636,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2099,800,Lone Star ,Drama|Mystery|Western,116905,26748.0,1996,19,3.0,855191324,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2189,1201,"Good, the Bad and the Ugly, The ",Action|Adventure|Western,60196,429.0,1966,19,4.0,855191654,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2226,1254,"Treasure of the Sierra Madre, The ",Action|Adventure|Drama|Western,40897,3090.0,1948,19,5.0,855192033,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2235,1266,Unforgiven ,Drama|Western,105695,33.0,1992,19,4.0,855191930,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2247,1283,High Noon ,Drama|Western,44706,288.0,1952,19,4.0,855192120,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2260,1304,Butch Cassidy and the Sundance Kid ,Action|Western,64115,642.0,1969,19,3.0,855192120,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2289,1378,Young Guns ,Action|Comedy|Western,96487,11967.0,1988,19,2.0,855193244,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2302,1408,"Last of the Mohicans, The ",Action|Romance|War|Western,104691,9361.0,1992,19,3.0,855192910,1997,M,1,10,48073,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2330,590,Dances with Wolves ,Adventure|Drama|Western,99348,581.0,1990,20,2.0,1238729764,2009,M,25,14,55113,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
2359,1378,Young Guns ,Action|Comedy|Western,96487,11967.0,1988,20,3.0,1224042777,2008,M,25,14,55113,/Users/wuyan/GitHub/DataAnalysisPython/Final/data/genres/
