gender,F,M
genre,,
Comedy,3.401303089,3.434654147
Fantasy,3.38384337,3.550690909
Action,3.383232295,3.444116501
IMAX,3.424574209,3.603230337
Thriller,3.47657286,3.506578554
Drama,3.68234387,3.652777778
Romance,3.534951823,3.536171063
Western,3.583007813,3.516572352
Musical,3.556291391,3.58973936
Documentary,3.824175824,3.789473684
Animation,3.511627907,3.663096997
Film-Noir,3.966312057,3.920666667
Sci-Fi,3.373551637,3.46728115
Children,3.347474349,3.494605287
Mystery,3.643709597,3.666170635
(no genres listed),2.75,3.7
Horror,3.176702307,3.348445314
Crime,3.644843569,3.660888306
War,3.815555556,3.799267846
Adventure,3.426455907,3.534180362
