title,F,M
"Shawshank Redemption, The ",4.396039603960396,4.530952380952381
"Godfather, The ",4.5,4.4822695035460995
"African Queen, The ",4.375,4.45
Seven Samurai ,3.96875,4.407894736842105
Raging Bull ,4.28125,4.382352941176471
"Godfather: Part II, The ",4.409090909090909,4.373626373626373
Run Lola Run ,3.82,4.372727272727273
Monty Python and the Holy Grail ,4.0,4.321782178217822
Schindler's List ,4.267123287671233,4.318713450292398
City of God ,4.25,4.313725490196078
Chinatown ,4.4,4.3125
Rear Window ,4.339285714285714,4.3046875
"Usual Suspects, The ",4.5344827586206895,4.304195804195804
Fargo ,4.164383561643835,4.301324503311259
Memento ,4.03030303030303,4.292929292929293
North by Northwest ,4.25,4.277777777777778
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,4.048387096774194,4.277027027027027
"Lord of the Rings: The Fellowship of the Ring, The ",3.935185185185185,4.273972602739726
"Maltese Falcon, The ",4.431034482758621,4.270833333333333
"Princess Bride, The ",4.0638297872340425,4.267241379310345
Star Wars: Episode V - The Empire Strikes Back ,4.147540983606557,4.263005780346821
"Dark Knight, The ",4.166666666666667,4.261363636363637
Pulp Fiction ,4.25,4.259174311926605
Reservoir Dogs ,3.918918918918919,4.257894736842105
Psycho ,3.5517241379310347,4.254098360655738
One Flew Over the Cuckoo's Nest ,4.269230769230769,4.252380952380952
"Matrix, The ",4.014285714285714,4.246031746031746
Star Wars: Episode IV - A New Hope ,4.160493827160494,4.245238095238095
Wallace & Gromit: A Close Shave ,4.0,4.244897959183674
"Departed, The ",4.108695652173913,4.237704918032787
Taxi Driver ,4.202702702702703,4.234567901234568
Casablanca ,4.236111111111111,4.234567901234568
American Beauty ,4.2631578947368425,4.226993865030675
Fight Club ,4.03921568627451,4.225165562913907
Raiders of the Lost Ark ,4.105263157894737,4.223926380368098
Eternal Sunshine of the Spotless Mind ,3.909090909090909,4.219178082191781
It's a Wonderful Life ,4.021739130434782,4.214285714285714
To Kill a Mockingbird ,4.12962962962963,4.2075471698113205
Vertigo ,4.282608695652174,4.195652173913044
