gender,0-17,18-24,25-34,35-44,45-49,50-55,over 56
date,,,,,,,
1996,3.064516129,3.642857143,3.602739726,3.50887574,3.105263158,3.4,3.642857143
1997,3.923076923,3.8,3.597701149,3.677419355,4.041666667,3.777777778,3
1998,2.863636364,2.833333333,3.64,3.413793103,3.647058824,3.666666667,4
1999,3.333333333,3.764705882,3.715517241,3.67965368,3.346153846,,4.25
2000,3.32,3.446428571,3.39869281,3.725409836,3.472340426,3.235294118,3.376470588
2001,4,3.403669725,3.164383562,3.666666667,3.718309859,3,4.2
2002,3,3.636363636,3.238095238,3.266666667,3.588235294,3,
2003,3.846153846,3.564102564,3.420560748,3.673913043,3.58,4.263157895,3.853333333
2004,,3.6,3.318181818,3.180555556,3.583333333,3.21875,4
2005,,3.376262626,3.702380952,3.613138686,3.862068966,3.454545455,
2006,3.309859155,3.516949153,3.386861314,3.555803571,3.846153846,3.93125,4.1
2007,2.166666667,3.505952381,3.444444444,3.214285714,3.052631579,,3.333333333
2008,3.214285714,2.780821918,3.296680498,3.522727273,3.795454545,3.916666667,
2009,3.0625,2.889344262,3.390243902,3.492424242,3.652542373,2.285714286,4.2
2010,2.9,3.985294118,3.695402299,3.513157895,3.545454545,,2.535714286
2011,2.817307692,3.556818182,3.616197183,2.833333333,3.125,3.956521739,
2012,,3.12755102,3.023809524,3.257142857,3.875,3.604166667,3.833333333
2013,3.625,3.833333333,3.813333333,3.623529412,3,3.7,3.5
2014,,3.793478261,2.778688525,3.454545455,,3.925,
2015,,3.486013986,3.079207921,3.887596899,4.133333333,4.088235294,3.409090909
2016,,2.609965636,3.254098361,3.888297872,3.720930233,4.237623762,4.05
