title,rating
Casablanca ,5
"Sting, The ",5
Run Lola Run ,5
Amadeus ,5
Traffic ,5
Eraser ,5
Rocky ,5
Toy Story 2 ,5
Inglourious Basterds ,5
Citizen Kane ,5
"O Brother, Where Art Thou? ",5
Broken Arrow ,5
"Shining, The ",5
Raiders of the Lost Ark ,5
Animal House ,5
Star Wars: Episode V - The Empire Strikes Back ,4.833333333
Goodfellas ,4.833333333
Memento ,4.833333333
Fight Club ,4.8
2001: A Space Odyssey ,4.75
American Beauty ,4.75
Star Wars: Episode III - Revenge of the Sith ,4.75
Psycho ,4.75
12 Angry Men ,4.75
Star Wars: Episode IV - A New Hope ,4.714285714
Pulp Fiction ,4.714285714
Trainspotting ,4.666666667
Clerks ,4.666666667
Inception ,4.666666667
"Dark Knight, The ",4.625
"Lord of the Rings: The Fellowship of the Ring, The ",4.625
"Godfather, The ",4.6
"Usual Suspects, The ",4.583333333
"Silence of the Lambs, The ",4.583333333
Fantasia ,4.5
Ransom ,4.5
Indiana Jones and the Temple of Doom ,4.5
Schindler's List ,4.5
Iron Man ,4.5
"Bridge on the River Kwai, The ",4.5
"Full Monty, The ",4.5
L.A. Confidential ,4.5
"Godfather: Part II, The ",4.5
Harry Potter and the Goblet of Fire ,4.5
Sling Blade ,4.5
"Departed, The ",4.5
City of God ,4.5
Good Will Hunting ,4.5
Close Encounters of the Third Kind ,4.5
"Good, the Bad and the Ugly, The ",4.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,4.5
Hot Shots! Part Deux ,4.5
Dead Man Walking ,4.5
Requiem for a Dream ,4.5
"Graduate, The ",4.5
Reservoir Dogs ,4.5
Naked Gun 33 1/3: The Final Insult ,4.5
North by Northwest ,4.5
"Lock, Stock & Two Smoking Barrels ",4.5
"Lord of the Rings: The Two Towers, The ",4.5
Best in Show ,4.5
"Big Lebowski, The ",4.5
300,4.5
Star Wars: Episode VI - Return of the Jedi ,4.4
Shrek ,4.375
Snatch ,4.375
Gladiator ,4.375
"Shawshank Redemption, The ",4.375
"Incredibles, The ",4.375
"Lord of the Rings: The Return of the King, The ",4.375
Batman Begins ,4.333333333
In the Line of Fire ,4.333333333
Platoon ,4.333333333
Clear and Present Danger ,4.333333333
Eternal Sunshine of the Spotless Mind ,4.333333333
High Fidelity ,4.333333333
"Clockwork Orange, A ",4.333333333
"English Patient, The ",4.333333333
Blade Runner ,4.333333333
"Sixth Sense, The ",4.333333333
American History X ,4.333333333
Leaving Las Vegas ,4.333333333
Airplane! ,4.333333333
Monty Python and the Holy Grail ,4.3
"Matrix, The ",4.3
V for Vendetta ,4.25
Wallace & Gromit: A Close Shave ,4.25
"Crouching Tiger, Hidden Dragon ",4.25
Rushmore ,4.25
Monty Python's Life of Brian ,4.25
Fargo ,4.25
Little Miss Sunshine ,4.25
Magnolia ,4.25
Braveheart ,4.2
Forrest Gump ,4.1875
Snow White and the Seven Dwarfs ,4.166666667
Up ,4.166666667
Toy Story ,4.166666667
Amelie ,4.166666667
Shutter Island ,4.166666667
Avatar ,4.166666667
Being John Malkovich ,4.166666667
Jurassic Park ,4.166666667
Bowling for Columbine ,4.166666667
Butch Cassidy and the Sundance Kid ,4.166666667
Apollo 13 ,4.142857143
Alien ,4.125
Saving Private Ryan ,4.1
Sabrina ,4
"Monsters, Inc. ",4
One Flew Over the Cuckoo's Nest ,4
Seven ,4
"Game, The ",4
Muriel's Wedding ,4
Notting Hill ,4
GoldenEye ,4
Mission: Impossible ,4
"Princess Bride, The ",4
Pan's Labyrinth ,4
M*A*S*H ,4
Last Action Hero ,4
Rain Man ,4
"Jungle Book, The ",4
Raising Arizona ,4
Shakespeare in Love ,4
Jerry Maguire ,4
Jaws ,4
It's a Wonderful Life ,4
Interview with the Vampire: The Vampire Chronicles ,4
Indiana Jones and the Last Crusade ,4
Lost in Translation ,4
Pirates of the Caribbean: Dead Man's Chest ,4
Minority Report ,4
Mary Poppins ,4
"Piano, The ",4
Ratatouille ,4
"Hunt for Red October, The ",4
Rear Window ,4
"Matrix Reloaded, The ",4
"Matrix Revolutions, The ",4
"Rock, The ",4
Maverick ,4
Grosse Pointe Blank ,4
"Patriot, The ",4
"Fugitive, The ",4
Young Frankenstein ,4
There's Something About Mary ,4
Boogie Nights ,4
Cinderella ,4
Chinatown ,4
Chasing Amy ,4
Catch Me If You Can ,4
Casino Royale ,4
Casino ,4
Cape Fear ,4
"Bug's Life, A ",4
This Is Spinal Tap ,4
"Breakfast Club, The ",4
Brazil ,4
"Bourne Ultimatum, The ",4
"Bourne Supremacy, The ",4
Bonnie and Clyde ,4
Stand by Me ,4
"Blues Brothers, The ",4
"Three Musketeers, The ",4
Tombstone ,4
Basic Instinct ,4
Twelve Monkeys ,4
Unbreakable ,4
"Untouchables, The ",4
Wallace & Gromit: The Wrong Trousers ,4
Waterworld ,4
Almost Famous ,4
Who Framed Roger Rabbit? ,4
"Wizard of Oz, The ",4
X-Men ,4
Crimson Tide ,4
"Exorcist, The ",4
Edward Scissorhands ,4
Desperado ,4
Die Hard: With a Vengeance ,4
Face/Off ,4
"Fly, The ",4
"Firm, The ",4
Shrek 2 ,4
"South Park: Bigger, Longer and Uncut ",4
Ferris Bueller's Day Off ,4
"Few Good Men, A ",4
Dogma ,4
E.T. the Extra-Terrestrial ,4
"Sound of Music, The ",4
Jackie Brown ,3.875
Apocalypse Now ,3.875
Full Metal Jacket ,3.875
Glory ,3.875
WALLÂ·E ,3.833333333
Kill Bill: Vol. 2 ,3.833333333
Blazing Saddles ,3.833333333
Pirates of the Caribbean: The Curse of the Black Pearl ,3.833333333
Dances with Wolves ,3.833333333
Juno ,3.833333333
X2: X-Men United ,3.833333333
When Harry Met Sally... ,3.833333333
Dead Poets Society ,3.833333333
Sense and Sensibility ,3.8
"Beautiful Mind, A ",3.75
Legends of the Fall ,3.75
Star Wars: Episode II - Attack of the Clones ,3.75
Planet of the Apes ,3.75
Clueless ,3.75
"Christmas Story, A ",3.75
LÃ©on: The Professional ,3.75
