tag,userId,userName,Link,Reputation
.net,146077,Kirk Broadhurst,http://stackoverflow.com/users/146077/kirk-broadhurst,16020
.net,63550,Peter Mortensen,http://stackoverflow.com/users/63550/peter-mortensen,10332
.net,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
.net,817630,Kris Harper,http://stackoverflow.com/users/817630/kris-harper,2357
.net,579980,Pavel Surmenok,http://stackoverflow.com/users/579980/pavel-surmenok,2301
.net,49412,M456,http://stackoverflow.com/users/49412/m456,1438
.net,246719,Serhiy,http://stackoverflow.com/users/246719/serhiy,1425
.net,403294,Jakob S.,http://stackoverflow.com/users/403294/jakob-s,1181
.net,484944,Nick Alger,http://stackoverflow.com/users/484944/nick-alger,529
.net,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
.net,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
.net,828602,billboard,http://stackoverflow.com/users/828602/billboard,90
.net,6101290,Lily,http://stackoverflow.com/users/6101290/lily,21
.net,1970384,Fernando D&#39;Andrea,http://stackoverflow.com/users/1970384/fernando-dandrea,10
