tag,userId,userName,Link,Reputation
ajax,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
ajax,1845408,renakre,http://stackoverflow.com/users/1845408/renakre,4507
ajax,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
ajax,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
ajax,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
ajax,2061989,Caspar Wylie,http://stackoverflow.com/users/2061989/caspar-wylie,1299
ajax,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
ajax,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
ajax,4930565,hulkinBrain,http://stackoverflow.com/users/4930565/hulkinbrain,172
ajax,1797492,Andr&#233;s,http://stackoverflow.com/users/1797492/andr%c3%a9s,158
ajax,5661795,HJGBAUM,http://stackoverflow.com/users/5661795/hjgbaum,98
ajax,4980092,Jasper Bernales,http://stackoverflow.com/users/4980092/jasper-bernales,46
