tag,userId,userName,Link,Reputation
algorithm,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
algorithm,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
algorithm,146077,Kirk Broadhurst,http://stackoverflow.com/users/146077/kirk-broadhurst,16020
algorithm,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
algorithm,654203,Anthony,http://stackoverflow.com/users/654203/anthony,5599
algorithm,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
algorithm,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
algorithm,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
algorithm,1041868,bph,http://stackoverflow.com/users/1041868/bph,2843
algorithm,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
algorithm,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
algorithm,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
algorithm,640739,CyprUS,http://stackoverflow.com/users/640739/cyprus,1690
algorithm,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
algorithm,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
algorithm,103054,csiz,http://stackoverflow.com/users/103054/csiz,1464
algorithm,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
algorithm,567879,user567879,http://stackoverflow.com/users/567879/user567879,1184
algorithm,403294,Jakob S.,http://stackoverflow.com/users/403294/jakob-s,1181
algorithm,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
algorithm,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
algorithm,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
algorithm,484944,Nick Alger,http://stackoverflow.com/users/484944/nick-alger,529
algorithm,1920178,Oria Gruber,http://stackoverflow.com/users/1920178/oria-gruber,525
algorithm,1092525,Snesticle,http://stackoverflow.com/users/1092525/snesticle,373
algorithm,2946352,Chronicle,http://stackoverflow.com/users/2946352/chronicle,373
algorithm,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
algorithm,1525147,Leonardo Lopez,http://stackoverflow.com/users/1525147/leonardo-lopez,362
algorithm,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
algorithm,2550866,Sayed Zainul Abideen,http://stackoverflow.com/users/2550866/sayed-zainul-abideen,340
algorithm,1913936,Timothy Swan,http://stackoverflow.com/users/1913936/timothy-swan,313
algorithm,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
algorithm,3426927,Michael Hooreman,http://stackoverflow.com/users/3426927/michael-hooreman,193
algorithm,4402942,Ulderique Demoitre,http://stackoverflow.com/users/4402942/ulderique-demoitre,178
algorithm,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
algorithm,1972356,NicolaiF,http://stackoverflow.com/users/1972356/nicolaif,121
algorithm,1475412,user1475412,http://stackoverflow.com/users/1475412/user1475412,114
algorithm,5453723,Azfar Faizan,http://stackoverflow.com/users/5453723/azfar-faizan,100
algorithm,2784163,Manish,http://stackoverflow.com/users/2784163/manish,84
algorithm,4759898,Chicony,http://stackoverflow.com/users/4759898/chicony,78
algorithm,3610381,Aristotle0,http://stackoverflow.com/users/3610381/aristotle0,70
algorithm,4321796,Vasyl Bratushka,http://stackoverflow.com/users/4321796/vasyl-bratushka,65
algorithm,6278404,Solly,http://stackoverflow.com/users/6278404/solly,51
algorithm,2514197,user113478,http://stackoverflow.com/users/2514197/user113478,51
algorithm,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
algorithm,3568044,user3568044,http://stackoverflow.com/users/3568044/user3568044,29
algorithm,5705270,Flow Nuwen,http://stackoverflow.com/users/5705270/flow-nuwen,28
algorithm,5526835,feynmanium,http://stackoverflow.com/users/5526835/feynmanium,17
algorithm,7087119,Lema,http://stackoverflow.com/users/7087119/lema,7
algorithm,6503010,andysfd,http://stackoverflow.com/users/6503010/andysfd,3
