tag,userId,userName,Link,Reputation
anaconda,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
anaconda,439325,joon,http://stackoverflow.com/users/439325/joon,1600
anaconda,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
anaconda,1382869,nathan12343,http://stackoverflow.com/users/1382869/nathan12343,683
anaconda,3604473,blaz,http://stackoverflow.com/users/3604473/blaz,594
anaconda,4402407,tjb305,http://stackoverflow.com/users/4402407/tjb305,413
anaconda,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
anaconda,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
anaconda,3437012,Bananach,http://stackoverflow.com/users/3437012/bananach,162
anaconda,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
anaconda,3599381,OnurA,http://stackoverflow.com/users/3599381/onura,108
anaconda,3254025,spec3,http://stackoverflow.com/users/3254025/spec3,66
anaconda,5502568,JrtPec,http://stackoverflow.com/users/5502568/jrtpec,66
anaconda,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
anaconda,3747801,Toke Faurby,http://stackoverflow.com/users/3747801/toke-faurby,50
anaconda,3826115,user3826115,http://stackoverflow.com/users/3826115/user3826115,48
anaconda,5431568,Charles,http://stackoverflow.com/users/5431568/charles,35
anaconda,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
anaconda,6020498,Gloria Bazargan,http://stackoverflow.com/users/6020498/gloria-bazargan,23
anaconda,1970384,Fernando D&#39;Andrea,http://stackoverflow.com/users/1970384/fernando-dandrea,10
anaconda,2113962,haidescs,http://stackoverflow.com/users/2113962/haidescs,8
anaconda,7085613,slyman,http://stackoverflow.com/users/7085613/slyman,6
anaconda,4031498,Waseem Ali,http://stackoverflow.com/users/4031498/waseem-ali,1
