tag,userId,userName,Link,Reputation
angularjs,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
angularjs,1675976,CodyBugstein,http://stackoverflow.com/users/1675976/codybugstein,3966
angularjs,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
angularjs,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
angularjs,2821224,9blue,http://stackoverflow.com/users/2821224/9blue,1450
angularjs,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
angularjs,1258237,Nabil,http://stackoverflow.com/users/1258237/nabil,983
angularjs,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
angularjs,4852094,Rob,http://stackoverflow.com/users/4852094/rob,631
angularjs,828602,billboard,http://stackoverflow.com/users/828602/billboard,90
angularjs,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
angularjs,4384381,Salvatore Cosentino,http://stackoverflow.com/users/4384381/salvatore-cosentino,45
angularjs,6944197,fourth,http://stackoverflow.com/users/6944197/fourth,9
