tag,userId,userName,Link,Reputation
apache-spark,146077,Kirk Broadhurst,http://stackoverflow.com/users/146077/kirk-broadhurst,16020
apache-spark,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
apache-spark,1258237,Nabil,http://stackoverflow.com/users/1258237/nabil,983
apache-spark,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
apache-spark,2424587,Hanan Shteingart,http://stackoverflow.com/users/2424587/hanan-shteingart,721
apache-spark,4402407,tjb305,http://stackoverflow.com/users/4402407/tjb305,413
apache-spark,3426927,Michael Hooreman,http://stackoverflow.com/users/3426927/michael-hooreman,193
apache-spark,5998425,Edward,http://stackoverflow.com/users/5998425/edward,147
apache-spark,3341945,mflowww,http://stackoverflow.com/users/3341945/mflowww,125
apache-spark,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
apache-spark,5550721,Daria Smirnova,http://stackoverflow.com/users/5550721/daria-smirnova,40
apache-spark,6527887,itsamineral,http://stackoverflow.com/users/6527887/itsamineral,13
