tag,userId,userName,Link,Reputation
apache,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
apache,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
apache,670979,Kevin,http://stackoverflow.com/users/670979/kevin,1200
apache,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
apache,2651924,Malintha,http://stackoverflow.com/users/2651924/malintha,583
apache,1034747,Ryan Martin,http://stackoverflow.com/users/1034747/ryan-martin,469
apache,1658296,user1658296,http://stackoverflow.com/users/1658296/user1658296,331
apache,501275,gha,http://stackoverflow.com/users/501275/gha,234
apache,1475412,user1475412,http://stackoverflow.com/users/1475412/user1475412,114
apache,5718928,Michael Jancen-Widmer,http://stackoverflow.com/users/5718928/michael-jancen-widmer,65
apache,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
