tag,userId,userName,Link,Reputation
bash,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
bash,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
bash,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
bash,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
bash,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
bash,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
bash,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
bash,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
bash,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
bash,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
bash,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
bash,1380285,bob.sacamento,http://stackoverflow.com/users/1380285/bob-sacamento,1544
bash,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
bash,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
bash,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
bash,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
bash,1652217,WanderingMind,http://stackoverflow.com/users/1652217/wanderingmind,525
bash,1171112,TimGJ,http://stackoverflow.com/users/1171112/timgj,346
bash,1658296,user1658296,http://stackoverflow.com/users/1658296/user1658296,331
bash,3552975,lerner adams,http://stackoverflow.com/users/3552975/lerner-adams,312
bash,501275,gha,http://stackoverflow.com/users/501275/gha,234
bash,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
bash,1542093,lordlabakdas,http://stackoverflow.com/users/1542093/lordlabakdas,178
bash,1125663,Saladsamurai,http://stackoverflow.com/users/1125663/saladsamurai,78
bash,5982950,Vacassal Alsk,http://stackoverflow.com/users/5982950/vacassal-alsk,72
bash,4538066,BenP,http://stackoverflow.com/users/4538066/benp,50
bash,4442084,Bert Zangle,http://stackoverflow.com/users/4442084/bert-zangle,42
bash,5550721,Daria Smirnova,http://stackoverflow.com/users/5550721/daria-smirnova,40
bash,5269892,bproxauf,http://stackoverflow.com/users/5269892/bproxauf,39
bash,4141431,Armin,http://stackoverflow.com/users/4141431/armin,26
bash,6089591,Adam,http://stackoverflow.com/users/6089591/adam,19
bash,3503704,user3503704,http://stackoverflow.com/users/3503704/user3503704,16
bash,4585383,Tofu Daydreamer,http://stackoverflow.com/users/4585383/tofu-daydreamer,14
bash,6527887,itsamineral,http://stackoverflow.com/users/6527887/itsamineral,13
bash,2113962,haidescs,http://stackoverflow.com/users/2113962/haidescs,8
