tag,userId,userName,Link,Reputation
c++11,133374,Albert,http://stackoverflow.com/users/133374/albert,20579
c++11,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
c++11,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
c++11,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
c++11,722695,Roby,http://stackoverflow.com/users/722695/roby,731
c++11,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
c++11,5695018,Wintro,http://stackoverflow.com/users/5695018/wintro,173
c++11,3599381,OnurA,http://stackoverflow.com/users/3599381/onura,108
c++11,3610381,Aristotle0,http://stackoverflow.com/users/3610381/aristotle0,70
c++11,4133131,hyit,http://stackoverflow.com/users/4133131/hyit,47
