tag,userId,userName,Link,Reputation
computer-vision,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
computer-vision,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
computer-vision,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
computer-vision,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
computer-vision,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
computer-vision,49412,M456,http://stackoverflow.com/users/49412/m456,1438
computer-vision,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
computer-vision,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
computer-vision,5018930,Christoph Pohl,http://stackoverflow.com/users/5018930/christoph-pohl,71
computer-vision,6743956,Imran Ibrahimi,http://stackoverflow.com/users/6743956/imran-ibrahimi,60
