tag,userId,userName,Link,Reputation
cython,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
cython,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
cython,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
cython,439325,joon,http://stackoverflow.com/users/439325/joon,1600
cython,378080,antony,http://stackoverflow.com/users/378080/antony,864
cython,1382869,nathan12343,http://stackoverflow.com/users/1382869/nathan12343,683
cython,222470,Louis,http://stackoverflow.com/users/222470/louis,490
cython,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
cython,3426927,Michael Hooreman,http://stackoverflow.com/users/3426927/michael-hooreman,193
cython,4402942,Ulderique Demoitre,http://stackoverflow.com/users/4402942/ulderique-demoitre,178
cython,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
cython,3610381,Aristotle0,http://stackoverflow.com/users/3610381/aristotle0,70
cython,6477678,Canuck,http://stackoverflow.com/users/6477678/canuck,25
cython,6896234,Elgin Cahangirov,http://stackoverflow.com/users/6896234/elgin-cahangirov,18
cython,5007758,Khalif21,http://stackoverflow.com/users/5007758/khalif21,16
