tag,userId,userName,Link,Reputation
deep-learning,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
deep-learning,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
deep-learning,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
deep-learning,1978504,mathetes,http://stackoverflow.com/users/1978504/mathetes,642
deep-learning,3340234,Leb_Broth,http://stackoverflow.com/users/3340234/leb-broth,473
deep-learning,3147590,user3147590,http://stackoverflow.com/users/3147590/user3147590,167
deep-learning,2805751,user2805751,http://stackoverflow.com/users/2805751/user2805751,166
deep-learning,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
deep-learning,5197007,Rick,http://stackoverflow.com/users/5197007/rick,54
deep-learning,3747801,Toke Faurby,http://stackoverflow.com/users/3747801/toke-faurby,50
deep-learning,4405877,Xer,http://stackoverflow.com/users/4405877/xer,41
deep-learning,2971693,user2971693,http://stackoverflow.com/users/2971693/user2971693,40
deep-learning,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
deep-learning,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
deep-learning,6718957,jojo,http://stackoverflow.com/users/6718957/jojo,19
