tag,userId,userName,Link,Reputation
eclipse,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
eclipse,572616,Woltan,http://stackoverflow.com/users/572616/woltan,7163
eclipse,1675976,CodyBugstein,http://stackoverflow.com/users/1675976/codybugstein,3966
eclipse,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
eclipse,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
eclipse,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
eclipse,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
eclipse,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
eclipse,640739,CyprUS,http://stackoverflow.com/users/640739/cyprus,1690
eclipse,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
eclipse,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
eclipse,1496362,dorien,http://stackoverflow.com/users/1496362/dorien,1614
eclipse,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
eclipse,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
eclipse,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
eclipse,1695258,Petr Shypila,http://stackoverflow.com/users/1695258/petr-shypila,556
eclipse,1529314,dmon,http://stackoverflow.com/users/1529314/dmon,449
eclipse,2301970,Delosari,http://stackoverflow.com/users/2301970/delosari,322
eclipse,4637358,1a1a11a,http://stackoverflow.com/users/4637358/1a1a11a,165
eclipse,3437012,Bananach,http://stackoverflow.com/users/3437012/bananach,162
eclipse,6161587,Robin Kramer,http://stackoverflow.com/users/6161587/robin-kramer,144
eclipse,5583416,user27665,http://stackoverflow.com/users/5583416/user27665,101
eclipse,4133131,hyit,http://stackoverflow.com/users/4133131/hyit,47
eclipse,2770149,user2770149,http://stackoverflow.com/users/2770149/user2770149,41
eclipse,5806421,kv manohar,http://stackoverflow.com/users/5806421/kv-manohar,33
eclipse,5007758,Khalif21,http://stackoverflow.com/users/5007758/khalif21,16
