tag,userId,userName,Link,Reputation
excel,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
excel,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
excel,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
excel,817630,Kris Harper,http://stackoverflow.com/users/817630/kris-harper,2357
excel,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
excel,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
excel,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
excel,1112586,SCB,http://stackoverflow.com/users/1112586/scb,1263
excel,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
excel,1005409,Muppet,http://stackoverflow.com/users/1005409/muppet,1092
excel,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
excel,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
excel,1713185,Michael Molter,http://stackoverflow.com/users/1713185/michael-molter,445
excel,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
excel,2330923,Heinz,http://stackoverflow.com/users/2330923/heinz,378
excel,1092525,Snesticle,http://stackoverflow.com/users/1092525/snesticle,373
excel,1171112,TimGJ,http://stackoverflow.com/users/1171112/timgj,346
excel,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
excel,6577574,spiff,http://stackoverflow.com/users/6577574/spiff,100
excel,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
excel,5058507,Tang,http://stackoverflow.com/users/5058507/tang,86
excel,1125663,Saladsamurai,http://stackoverflow.com/users/1125663/saladsamurai,78
excel,4948165,Eran Moshe,http://stackoverflow.com/users/4948165/eran-moshe,60
excel,2356181,FinanceGuyThatCantCode,http://stackoverflow.com/users/2356181/financeguythatcantcode,60
excel,4690647,Jonathan Abrahams,http://stackoverflow.com/users/4690647/jonathan-abrahams,23
excel,6101290,Lily,http://stackoverflow.com/users/6101290/lily,21
excel,6790910,user6790910,http://stackoverflow.com/users/6790910/user6790910,1
