tag,userId,userName,Link,Reputation
for-loop,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
for-loop,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
for-loop,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
for-loop,974555,gerrit,http://stackoverflow.com/users/974555/gerrit,3469
for-loop,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
for-loop,1005409,Muppet,http://stackoverflow.com/users/1005409/muppet,1092
for-loop,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
for-loop,2572773,kartikey_kant,http://stackoverflow.com/users/2572773/kartikey-kant,325
for-loop,1913936,Timothy Swan,http://stackoverflow.com/users/1913936/timothy-swan,313
for-loop,6095474,Vermillion,http://stackoverflow.com/users/6095474/vermillion,208
for-loop,5998425,Edward,http://stackoverflow.com/users/5998425/edward,147
for-loop,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
for-loop,2514197,user113478,http://stackoverflow.com/users/2514197/user113478,51
for-loop,4538066,BenP,http://stackoverflow.com/users/4538066/benp,50
for-loop,4955885,Nikita Gupta,http://stackoverflow.com/users/4955885/nikita-gupta,45
for-loop,5269892,bproxauf,http://stackoverflow.com/users/5269892/bproxauf,39
for-loop,4258501,shaffy,http://stackoverflow.com/users/4258501/shaffy,33
for-loop,3492061,sumoka,http://stackoverflow.com/users/3492061/sumoka,32
for-loop,5705270,Flow Nuwen,http://stackoverflow.com/users/5705270/flow-nuwen,28
for-loop,4141431,Armin,http://stackoverflow.com/users/4141431/armin,26
for-loop,7057982,Hotaru,http://stackoverflow.com/users/7057982/hotaru,5
for-loop,7077259,user7077259,http://stackoverflow.com/users/7077259/user7077259,1
