tag,userId,userName,Link,Reputation
function,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
function,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
function,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
function,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
function,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
function,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
function,1041868,bph,http://stackoverflow.com/users/1041868/bph,2843
function,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
function,2061989,Caspar Wylie,http://stackoverflow.com/users/2061989/caspar-wylie,1299
function,403294,Jakob S.,http://stackoverflow.com/users/403294/jakob-s,1181
function,722695,Roby,http://stackoverflow.com/users/722695/roby,731
function,1913936,Timothy Swan,http://stackoverflow.com/users/1913936/timothy-swan,313
function,6095474,Vermillion,http://stackoverflow.com/users/6095474/vermillion,208
function,6306448,Al_Iskander,http://stackoverflow.com/users/6306448/al-iskander,204
function,5695018,Wintro,http://stackoverflow.com/users/5695018/wintro,173
function,2784163,Manish,http://stackoverflow.com/users/2784163/manish,84
function,6556253,Jack,http://stackoverflow.com/users/6556253/jack,66
function,5718928,Michael Jancen-Widmer,http://stackoverflow.com/users/5718928/michael-jancen-widmer,65
function,6906747,Narusan,http://stackoverflow.com/users/6906747/narusan,56
function,4258501,shaffy,http://stackoverflow.com/users/4258501/shaffy,33
function,5289913,Ferreroire,http://stackoverflow.com/users/5289913/ferreroire,16
function,1801733,user1801733,http://stackoverflow.com/users/1801733/user1801733,13
function,6805576,Cfis Yoi,http://stackoverflow.com/users/6805576/cfis-yoi,7
