tag,userId,userName,Link,Reputation
gcc,133374,Albert,http://stackoverflow.com/users/133374/albert,20579
gcc,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
gcc,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
gcc,1041868,bph,http://stackoverflow.com/users/1041868/bph,2843
gcc,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
gcc,567879,user567879,http://stackoverflow.com/users/567879/user567879,1184
gcc,632242,Leszek,http://stackoverflow.com/users/632242/leszek,635
gcc,202091,D0SBoots,http://stackoverflow.com/users/202091/d0sboots,292
gcc,3599381,OnurA,http://stackoverflow.com/users/3599381/onura,108
gcc,4714631,dima,http://stackoverflow.com/users/4714631/dima,92
gcc,5806421,kv manohar,http://stackoverflow.com/users/5806421/kv-manohar,33
gcc,4915137,Luigi_Papardelle,http://stackoverflow.com/users/4915137/luigi-papardelle,16
