tag,userId,userName,Link,Reputation
ggplot2,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
ggplot2,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
ggplot2,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
ggplot2,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
ggplot2,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
ggplot2,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
ggplot2,2780360,D8Amonk,http://stackoverflow.com/users/2780360/d8amonk,369
ggplot2,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
ggplot2,5058507,Tang,http://stackoverflow.com/users/5058507/tang,86
ggplot2,3300849,user3300849,http://stackoverflow.com/users/3300849/user3300849,83
ggplot2,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
