tag,userId,userName,Link,Reputation
git,133374,Albert,http://stackoverflow.com/users/133374/albert,20579
git,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
git,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
git,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
git,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
git,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
git,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
git,1675976,CodyBugstein,http://stackoverflow.com/users/1675976/codybugstein,3966
git,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
git,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
git,886669,yasar,http://stackoverflow.com/users/886669/yasar,3667
git,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
git,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
git,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
git,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
git,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
git,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
git,2734863,Dirk Haupt,http://stackoverflow.com/users/2734863/dirk-haupt,540
git,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
git,1658296,user1658296,http://stackoverflow.com/users/1658296/user1658296,331
git,3552975,lerner adams,http://stackoverflow.com/users/3552975/lerner-adams,312
git,202091,D0SBoots,http://stackoverflow.com/users/202091/d0sboots,292
git,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
git,3437012,Bananach,http://stackoverflow.com/users/3437012/bananach,162
git,5982950,Vacassal Alsk,http://stackoverflow.com/users/5982950/vacassal-alsk,72
git,3254025,spec3,http://stackoverflow.com/users/3254025/spec3,66
git,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
git,6278404,Solly,http://stackoverflow.com/users/6278404/solly,51
git,3108267,andrea,http://stackoverflow.com/users/3108267/andrea,37
git,2679280,RYJ,http://stackoverflow.com/users/2679280/ryj,36
git,3286134,zycuber,http://stackoverflow.com/users/3286134/zycuber,28
