tag,userId,userName,Link,Reputation
github,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
github,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
github,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
github,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
github,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
github,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
github,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
github,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
github,1046429,rks171,http://stackoverflow.com/users/1046429/rks171,506
github,3552975,lerner adams,http://stackoverflow.com/users/3552975/lerner-adams,312
github,5982950,Vacassal Alsk,http://stackoverflow.com/users/5982950/vacassal-alsk,72
github,3254025,spec3,http://stackoverflow.com/users/3254025/spec3,66
