tag,userId,userName,Link,Reputation
hadoop,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
hadoop,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
hadoop,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
hadoop,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
hadoop,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
hadoop,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
hadoop,670979,Kevin,http://stackoverflow.com/users/670979/kevin,1200
hadoop,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
hadoop,1695258,Petr Shypila,http://stackoverflow.com/users/1695258/petr-shypila,556
hadoop,3147590,user3147590,http://stackoverflow.com/users/3147590/user3147590,167
hadoop,2101900,ramu,http://stackoverflow.com/users/2101900/ramu,58
hadoop,4647439,Jorge Canelhas,http://stackoverflow.com/users/4647439/jorge-canelhas,37
