tag,userId,userName,Link,Reputation
html5,1845408,renakre,http://stackoverflow.com/users/1845408/renakre,4507
html5,497600,lhk,http://stackoverflow.com/users/497600/lhk,3246
html5,103054,csiz,http://stackoverflow.com/users/103054/csiz,1464
html5,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
html5,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
html5,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
html5,3340234,Leb_Broth,http://stackoverflow.com/users/3340234/leb-broth,473
html5,1034747,Ryan Martin,http://stackoverflow.com/users/1034747/ryan-martin,469
html5,1542093,lordlabakdas,http://stackoverflow.com/users/1542093/lordlabakdas,178
html5,4930565,hulkinBrain,http://stackoverflow.com/users/4930565/hulkinbrain,172
html5,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
