tag,userId,userName,Link,Reputation
image-processing,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
image-processing,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
image-processing,654203,Anthony,http://stackoverflow.com/users/654203/anthony,5599
image-processing,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
image-processing,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
image-processing,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
image-processing,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
image-processing,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
image-processing,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
image-processing,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
image-processing,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
image-processing,49412,M456,http://stackoverflow.com/users/49412/m456,1438
image-processing,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
image-processing,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
image-processing,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
image-processing,1092525,Snesticle,http://stackoverflow.com/users/1092525/snesticle,373
image-processing,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
image-processing,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
image-processing,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
image-processing,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
image-processing,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
image-processing,4185468,uttam,http://stackoverflow.com/users/4185468/uttam,59
image-processing,4811722,David McCoy,http://stackoverflow.com/users/4811722/david-mccoy,41
image-processing,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
image-processing,7059507,Harsha,http://stackoverflow.com/users/7059507/harsha,11
