tag,userId,userName,Link,Reputation
image,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
image,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
image,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
image,497600,lhk,http://stackoverflow.com/users/497600/lhk,3246
image,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
image,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
image,2558506,Jee Seok Yoon,http://stackoverflow.com/users/2558506/jee-seok-yoon,1595
image,49412,M456,http://stackoverflow.com/users/49412/m456,1438
image,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
image,1978504,mathetes,http://stackoverflow.com/users/1978504/mathetes,642
image,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
image,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
image,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
image,2301970,Delosari,http://stackoverflow.com/users/2301970/delosari,322
image,202091,D0SBoots,http://stackoverflow.com/users/202091/d0sboots,292
image,1045755,Denver Dang,http://stackoverflow.com/users/1045755/denver-dang,265
image,5194792,Anay Bose,http://stackoverflow.com/users/5194792/anay-bose,192
image,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
image,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
image,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
image,6906747,Narusan,http://stackoverflow.com/users/6906747/narusan,56
image,4405877,Xer,http://stackoverflow.com/users/4405877/xer,41
image,5806421,kv manohar,http://stackoverflow.com/users/5806421/kv-manohar,33
image,6309471,Little geek,http://stackoverflow.com/users/6309471/little-geek,23
image,4467502,Paul Parneix,http://stackoverflow.com/users/4467502/paul-parneix,15
image,5289209,A. Kwas,http://stackoverflow.com/users/5289209/a-kwas,2
