tag,userId,userName,Link,Reputation
inheritance,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
inheritance,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
inheritance,1845408,renakre,http://stackoverflow.com/users/1845408/renakre,4507
inheritance,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
inheritance,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
inheritance,2424587,Hanan Shteingart,http://stackoverflow.com/users/2424587/hanan-shteingart,721
inheritance,2572773,kartikey_kant,http://stackoverflow.com/users/2572773/kartikey-kant,325
inheritance,5069802,Javier,http://stackoverflow.com/users/5069802/javier,301
inheritance,3841374,Rajesh Subramanian,http://stackoverflow.com/users/3841374/rajesh-subramanian,54
inheritance,127747,DAmann,http://stackoverflow.com/users/127747/damann,46
inheritance,4702833,D_Wills,http://stackoverflow.com/users/4702833/d-wills,36
inheritance,5806421,kv manohar,http://stackoverflow.com/users/5806421/kv-manohar,33
