tag,userId,userName,Link,Reputation
interpolation,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
interpolation,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
interpolation,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
interpolation,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
interpolation,1380285,bob.sacamento,http://stackoverflow.com/users/1380285/bob-sacamento,1544
interpolation,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
interpolation,3254859,Chris Mueller,http://stackoverflow.com/users/3254859/chris-mueller,827
interpolation,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
interpolation,1529314,dmon,http://stackoverflow.com/users/1529314/dmon,449
interpolation,1598778,&#193;lvaro,http://stackoverflow.com/users/1598778/%c3%81lvaro,306
interpolation,6306448,Al_Iskander,http://stackoverflow.com/users/6306448/al-iskander,204
interpolation,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
interpolation,6949070,Manu,http://stackoverflow.com/users/6949070/manu,11
