tag,userId,userName,Link,Reputation
ipython-notebook,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
ipython-notebook,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
ipython-notebook,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
ipython-notebook,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
ipython-notebook,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
ipython-notebook,3660146,giosans,http://stackoverflow.com/users/3660146/giosans,593
ipython-notebook,4050925,Pocin,http://stackoverflow.com/users/4050925/pocin,491
ipython-notebook,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
ipython-notebook,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
ipython-notebook,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
