tag,userId,userName,Link,Reputation
jupyter-notebook,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
jupyter-notebook,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
jupyter-notebook,4050925,Pocin,http://stackoverflow.com/users/4050925/pocin,491
jupyter-notebook,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
jupyter-notebook,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
jupyter-notebook,5917745,Marnix,http://stackoverflow.com/users/5917745/marnix,103
jupyter-notebook,5502568,JrtPec,http://stackoverflow.com/users/5502568/jrtpec,66
jupyter-notebook,3747801,Toke Faurby,http://stackoverflow.com/users/3747801/toke-faurby,50
jupyter-notebook,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
jupyter-notebook,2343086,abdul qayyum,http://stackoverflow.com/users/2343086/abdul-qayyum,28
jupyter-notebook,6033923,RoSt,http://stackoverflow.com/users/6033923/rost,18
jupyter-notebook,6866272,ugradmath,http://stackoverflow.com/users/6866272/ugradmath,11
