tag,userId,userName,Link,Reputation
linear-algebra,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
linear-algebra,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
linear-algebra,3254859,Chris Mueller,http://stackoverflow.com/users/3254859/chris-mueller,827
linear-algebra,3604473,blaz,http://stackoverflow.com/users/3604473/blaz,594
linear-algebra,1920178,Oria Gruber,http://stackoverflow.com/users/1920178/oria-gruber,525
linear-algebra,1705012,Thom Chubb,http://stackoverflow.com/users/1705012/thom-chubb,354
linear-algebra,6095474,Vermillion,http://stackoverflow.com/users/6095474/vermillion,208
linear-algebra,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
linear-algebra,4321796,Vasyl Bratushka,http://stackoverflow.com/users/4321796/vasyl-bratushka,65
linear-algebra,7066781,SMal,http://stackoverflow.com/users/7066781/smal,13
