tag,userId,userName,Link,Reputation
list,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
list,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
list,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
list,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
list,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
list,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
list,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
list,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
list,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
list,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
list,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
list,974555,gerrit,http://stackoverflow.com/users/974555/gerrit,3469
list,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
list,1112163,ajkumar25,http://stackoverflow.com/users/1112163/ajkumar25,3166
list,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
list,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
list,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
list,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
list,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
list,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
list,1112586,SCB,http://stackoverflow.com/users/1112586/scb,1263
list,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
list,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
list,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
list,3254859,Chris Mueller,http://stackoverflow.com/users/3254859/chris-mueller,827
list,2424587,Hanan Shteingart,http://stackoverflow.com/users/2424587/hanan-shteingart,721
list,4852094,Rob,http://stackoverflow.com/users/4852094/rob,631
list,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
list,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
list,1652217,WanderingMind,http://stackoverflow.com/users/1652217/wanderingmind,525
