tag,userId,userName,Link,Reputation
loops,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
loops,484944,Nick Alger,http://stackoverflow.com/users/484944/nick-alger,529
loops,6306448,Al_Iskander,http://stackoverflow.com/users/6306448/al-iskander,204
loops,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
loops,6811609,Whud,http://stackoverflow.com/users/6811609/whud,184
loops,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
loops,3147590,user3147590,http://stackoverflow.com/users/3147590/user3147590,167
loops,5998425,Edward,http://stackoverflow.com/users/5998425/edward,147
loops,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
loops,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
loops,6906747,Narusan,http://stackoverflow.com/users/6906747/narusan,56
loops,2514197,user113478,http://stackoverflow.com/users/2514197/user113478,51
loops,4258501,shaffy,http://stackoverflow.com/users/4258501/shaffy,33
loops,5705270,Flow Nuwen,http://stackoverflow.com/users/5705270/flow-nuwen,28
loops,6293038,dayum,http://stackoverflow.com/users/6293038/dayum,23
loops,1250635,Argo,http://stackoverflow.com/users/1250635/argo,19
loops,7010422,Louise Stevens,http://stackoverflow.com/users/7010422/louise-stevens,6
loops,7057982,Hotaru,http://stackoverflow.com/users/7057982/hotaru,5
loops,7077259,user7077259,http://stackoverflow.com/users/7077259/user7077259,1
