tag,userId,userName,Link,Reputation
machine-learning,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
machine-learning,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
machine-learning,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
machine-learning,497600,lhk,http://stackoverflow.com/users/497600/lhk,3246
machine-learning,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
machine-learning,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
machine-learning,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
machine-learning,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
machine-learning,1496362,dorien,http://stackoverflow.com/users/1496362/dorien,1614
machine-learning,1158977,Sam Hammamy,http://stackoverflow.com/users/1158977/sam-hammamy,1514
machine-learning,670979,Kevin,http://stackoverflow.com/users/670979/kevin,1200
machine-learning,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
machine-learning,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
machine-learning,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
machine-learning,1978504,mathetes,http://stackoverflow.com/users/1978504/mathetes,642
machine-learning,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
machine-learning,1920178,Oria Gruber,http://stackoverflow.com/users/1920178/oria-gruber,525
machine-learning,3340234,Leb_Broth,http://stackoverflow.com/users/3340234/leb-broth,473
machine-learning,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
machine-learning,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
machine-learning,2550866,Sayed Zainul Abideen,http://stackoverflow.com/users/2550866/sayed-zainul-abideen,340
machine-learning,3552975,lerner adams,http://stackoverflow.com/users/3552975/lerner-adams,312
machine-learning,4402942,Ulderique Demoitre,http://stackoverflow.com/users/4402942/ulderique-demoitre,178
machine-learning,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
machine-learning,2805751,user2805751,http://stackoverflow.com/users/2805751/user2805751,166
machine-learning,1513130,wizbcn,http://stackoverflow.com/users/1513130/wizbcn,164
machine-learning,5768196,mvd,http://stackoverflow.com/users/5768196/mvd,117
machine-learning,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
machine-learning,5453723,Azfar Faizan,http://stackoverflow.com/users/5453723/azfar-faizan,100
machine-learning,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
machine-learning,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
machine-learning,2224704,mohit gupta,http://stackoverflow.com/users/2224704/mohit-gupta,79
machine-learning,5175044,tulians,http://stackoverflow.com/users/5175044/tulians,69
machine-learning,5197007,Rick,http://stackoverflow.com/users/5197007/rick,54
machine-learning,5061950,hiqbal,http://stackoverflow.com/users/5061950/hiqbal,42
machine-learning,4442084,Bert Zangle,http://stackoverflow.com/users/4442084/bert-zangle,42
machine-learning,6196696,M3105,http://stackoverflow.com/users/6196696/m3105,41
machine-learning,6931248,matthew,http://stackoverflow.com/users/6931248/matthew,39
machine-learning,4702833,D_Wills,http://stackoverflow.com/users/4702833/d-wills,36
machine-learning,5806421,kv manohar,http://stackoverflow.com/users/5806421/kv-manohar,33
machine-learning,3568044,user3568044,http://stackoverflow.com/users/3568044/user3568044,29
machine-learning,5705270,Flow Nuwen,http://stackoverflow.com/users/5705270/flow-nuwen,28
machine-learning,6944197,fourth,http://stackoverflow.com/users/6944197/fourth,9
machine-learning,6805576,Cfis Yoi,http://stackoverflow.com/users/6805576/cfis-yoi,7
machine-learning,3425162,Karan_Saxena,http://stackoverflow.com/users/3425162/karan-saxena,6
machine-learning,6572305,joelslft,http://stackoverflow.com/users/6572305/joelslft,1
machine-learning,7026461,whiteTea,http://stackoverflow.com/users/7026461/whitetea,1
machine-learning,7060297,Julian Tong,http://stackoverflow.com/users/7060297/julian-tong,1
machine-learning,3228006,Charmander35,http://stackoverflow.com/users/3228006/charmander35,1
