tag,userId,userName,Link,Reputation
matplotlib,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
matplotlib,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
matplotlib,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
matplotlib,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
matplotlib,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
matplotlib,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
matplotlib,572616,Woltan,http://stackoverflow.com/users/572616/woltan,7163
matplotlib,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
matplotlib,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
matplotlib,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
matplotlib,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
matplotlib,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
matplotlib,974555,gerrit,http://stackoverflow.com/users/974555/gerrit,3469
matplotlib,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
matplotlib,1112163,ajkumar25,http://stackoverflow.com/users/1112163/ajkumar25,3166
matplotlib,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
matplotlib,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
matplotlib,1609077,scls,http://stackoverflow.com/users/1609077/scls,2121
matplotlib,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
matplotlib,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
matplotlib,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
matplotlib,640739,CyprUS,http://stackoverflow.com/users/640739/cyprus,1690
matplotlib,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
matplotlib,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
matplotlib,1380285,bob.sacamento,http://stackoverflow.com/users/1380285/bob-sacamento,1544
matplotlib,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
matplotlib,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
matplotlib,2666270,pceccon,http://stackoverflow.com/users/2666270/pceccon,1469
matplotlib,766251,Sterling,http://stackoverflow.com/users/766251/sterling,1377
matplotlib,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
matplotlib,403294,Jakob S.,http://stackoverflow.com/users/403294/jakob-s,1181
matplotlib,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
matplotlib,378080,antony,http://stackoverflow.com/users/378080/antony,864
matplotlib,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
matplotlib,3254859,Chris Mueller,http://stackoverflow.com/users/3254859/chris-mueller,827
matplotlib,2424587,Hanan Shteingart,http://stackoverflow.com/users/2424587/hanan-shteingart,721
matplotlib,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
matplotlib,1382869,nathan12343,http://stackoverflow.com/users/1382869/nathan12343,683
matplotlib,3604473,blaz,http://stackoverflow.com/users/3604473/blaz,594
matplotlib,3660146,giosans,http://stackoverflow.com/users/3660146/giosans,593
matplotlib,2734863,Dirk Haupt,http://stackoverflow.com/users/2734863/dirk-haupt,540
matplotlib,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
matplotlib,1652217,WanderingMind,http://stackoverflow.com/users/1652217/wanderingmind,525
matplotlib,819718,TimRich,http://stackoverflow.com/users/819718/timrich,504
matplotlib,4050925,Pocin,http://stackoverflow.com/users/4050925/pocin,491
matplotlib,3377691,VBB,http://stackoverflow.com/users/3377691/vbb,446
matplotlib,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
matplotlib,2986596,TNT,http://stackoverflow.com/users/2986596/tnt,431
matplotlib,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
matplotlib,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
matplotlib,1556228,Jared,http://stackoverflow.com/users/1556228/jared,398
matplotlib,5597830,DarthLazar,http://stackoverflow.com/users/5597830/darthlazar,380
matplotlib,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
matplotlib,1705012,Thom Chubb,http://stackoverflow.com/users/1705012/thom-chubb,354
matplotlib,1171112,TimGJ,http://stackoverflow.com/users/1171112/timgj,346
matplotlib,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
matplotlib,2550866,Sayed Zainul Abideen,http://stackoverflow.com/users/2550866/sayed-zainul-abideen,340
matplotlib,2301970,Delosari,http://stackoverflow.com/users/2301970/delosari,322
matplotlib,1087908,josh1234,http://stackoverflow.com/users/1087908/josh1234,322
matplotlib,1913936,Timothy Swan,http://stackoverflow.com/users/1913936/timothy-swan,313
matplotlib,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
matplotlib,1598778,&#193;lvaro,http://stackoverflow.com/users/1598778/%c3%81lvaro,306
matplotlib,1851268,Shai Zarzewski,http://stackoverflow.com/users/1851268/shai-zarzewski,297
matplotlib,1045755,Denver Dang,http://stackoverflow.com/users/1045755/denver-dang,265
matplotlib,501275,gha,http://stackoverflow.com/users/501275/gha,234
matplotlib,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
matplotlib,5224720,Quang Thinh Ha,http://stackoverflow.com/users/5224720/quang-thinh-ha,193
matplotlib,5194792,Anay Bose,http://stackoverflow.com/users/5194792/anay-bose,192
matplotlib,3813324,user65,http://stackoverflow.com/users/3813324/user65,178
matplotlib,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
matplotlib,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
matplotlib,3437012,Bananach,http://stackoverflow.com/users/3437012/bananach,162
matplotlib,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
matplotlib,5111380,bikuser,http://stackoverflow.com/users/5111380/bikuser,152
matplotlib,1957969,Dylan,http://stackoverflow.com/users/1957969/dylan,132
matplotlib,1972356,NicolaiF,http://stackoverflow.com/users/1972356/nicolaif,121
matplotlib,5768196,mvd,http://stackoverflow.com/users/5768196/mvd,117
matplotlib,1233594,ALB,http://stackoverflow.com/users/1233594/alb,108
matplotlib,5917745,Marnix,http://stackoverflow.com/users/5917745/marnix,103
matplotlib,3228542,Javier,http://stackoverflow.com/users/3228542/javier,95
