tag,userId,userName,Link,Reputation
multidimensional-array,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
multidimensional-array,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
multidimensional-array,974555,gerrit,http://stackoverflow.com/users/974555/gerrit,3469
multidimensional-array,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
multidimensional-array,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
multidimensional-array,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
multidimensional-array,484944,Nick Alger,http://stackoverflow.com/users/484944/nick-alger,529
multidimensional-array,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
multidimensional-array,2986596,TNT,http://stackoverflow.com/users/2986596/tnt,431
multidimensional-array,2946352,Chronicle,http://stackoverflow.com/users/2946352/chronicle,373
multidimensional-array,1598778,&#193;lvaro,http://stackoverflow.com/users/1598778/%c3%81lvaro,306
multidimensional-array,5111380,bikuser,http://stackoverflow.com/users/5111380/bikuser,152
multidimensional-array,3341945,mflowww,http://stackoverflow.com/users/3341945/mflowww,125
multidimensional-array,1972356,NicolaiF,http://stackoverflow.com/users/1972356/nicolaif,121
multidimensional-array,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
multidimensional-array,4538066,BenP,http://stackoverflow.com/users/4538066/benp,50
multidimensional-array,4702833,D_Wills,http://stackoverflow.com/users/4702833/d-wills,36
multidimensional-array,5460458,tkowt,http://stackoverflow.com/users/5460458/tkowt,34
multidimensional-array,2657817,user2657817,http://stackoverflow.com/users/2657817/user2657817,32
multidimensional-array,6020498,Gloria Bazargan,http://stackoverflow.com/users/6020498/gloria-bazargan,23
multidimensional-array,6293038,dayum,http://stackoverflow.com/users/6293038/dayum,23
multidimensional-array,6835437,threnna,http://stackoverflow.com/users/6835437/threnna,16
multidimensional-array,7027216,Karl Hunt,http://stackoverflow.com/users/7027216/karl-hunt,1
