tag,userId,userName,Link,Reputation
mysql,75033,John Mee,http://stackoverflow.com/users/75033/john-mee,21725
mysql,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
mysql,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
mysql,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
mysql,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
mysql,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
mysql,654203,Anthony,http://stackoverflow.com/users/654203/anthony,5599
mysql,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
mysql,886669,yasar,http://stackoverflow.com/users/886669/yasar,3667
mysql,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
mysql,1112163,ajkumar25,http://stackoverflow.com/users/1112163/ajkumar25,3166
mysql,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
mysql,640739,CyprUS,http://stackoverflow.com/users/640739/cyprus,1690
mysql,2558506,Jee Seok Yoon,http://stackoverflow.com/users/2558506/jee-seok-yoon,1595
mysql,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
mysql,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
mysql,2061989,Caspar Wylie,http://stackoverflow.com/users/2061989/caspar-wylie,1299
mysql,670979,Kevin,http://stackoverflow.com/users/670979/kevin,1200
mysql,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
mysql,3254859,Chris Mueller,http://stackoverflow.com/users/3254859/chris-mueller,827
mysql,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
mysql,722695,Roby,http://stackoverflow.com/users/722695/roby,731
mysql,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
mysql,632242,Leszek,http://stackoverflow.com/users/632242/leszek,635
mysql,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
mysql,442117,Shyamkkhadka,http://stackoverflow.com/users/442117/shyamkkhadka,606
mysql,2651924,Malintha,http://stackoverflow.com/users/2651924/malintha,583
mysql,4050925,Pocin,http://stackoverflow.com/users/4050925/pocin,491
mysql,1556228,Jared,http://stackoverflow.com/users/1556228/jared,398
mysql,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
mysql,1171112,TimGJ,http://stackoverflow.com/users/1171112/timgj,346
mysql,1658296,user1658296,http://stackoverflow.com/users/1658296/user1658296,331
mysql,1851268,Shai Zarzewski,http://stackoverflow.com/users/1851268/shai-zarzewski,297
mysql,5194792,Anay Bose,http://stackoverflow.com/users/5194792/anay-bose,192
mysql,443874,Ryex,http://stackoverflow.com/users/443874/ryex,177
mysql,3147590,user3147590,http://stackoverflow.com/users/3147590/user3147590,167
mysql,894510,thegreatt,http://stackoverflow.com/users/894510/thegreatt,164
mysql,271526,Gabe,http://stackoverflow.com/users/271526/gabe,132
mysql,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
mysql,5661795,HJGBAUM,http://stackoverflow.com/users/5661795/hjgbaum,98
mysql,2101900,ramu,http://stackoverflow.com/users/2101900/ramu,58
mysql,5280153,Nishanth Seshadri,http://stackoverflow.com/users/5280153/nishanth-seshadri,55
mysql,4955885,Nikita Gupta,http://stackoverflow.com/users/4955885/nikita-gupta,45
mysql,5818372,Gykonik,http://stackoverflow.com/users/5818372/gykonik,44
mysql,4811722,David McCoy,http://stackoverflow.com/users/4811722/david-mccoy,41
mysql,6128789,chhibbz,http://stackoverflow.com/users/6128789/chhibbz,24
mysql,1250635,Argo,http://stackoverflow.com/users/1250635/argo,19
mysql,5203117,John,http://stackoverflow.com/users/5203117/john,7
mysql,4094830,elfving,http://stackoverflow.com/users/4094830/elfving,6
mysql,6844497,Alex  Skys,http://stackoverflow.com/users/6844497/alex-skys,1
