tag,userId,userName,Link,Reputation
neural-network,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
neural-network,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
neural-network,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
neural-network,1978504,mathetes,http://stackoverflow.com/users/1978504/mathetes,642
neural-network,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
neural-network,3340234,Leb_Broth,http://stackoverflow.com/users/3340234/leb-broth,473
neural-network,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
neural-network,2805751,user2805751,http://stackoverflow.com/users/2805751/user2805751,166
neural-network,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
neural-network,6307123,entercaspa,http://stackoverflow.com/users/6307123/entercaspa,128
neural-network,5583416,user27665,http://stackoverflow.com/users/5583416/user27665,101
neural-network,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
neural-network,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
neural-network,5718928,Michael Jancen-Widmer,http://stackoverflow.com/users/5718928/michael-jancen-widmer,65
neural-network,5197007,Rick,http://stackoverflow.com/users/5197007/rick,54
neural-network,6196696,M3105,http://stackoverflow.com/users/6196696/m3105,41
neural-network,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
neural-network,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
neural-network,2343086,abdul qayyum,http://stackoverflow.com/users/2343086/abdul-qayyum,28
