tag,userId,userName,Link,Reputation
objective-c,133374,Albert,http://stackoverflow.com/users/133374/albert,20579
objective-c,482601,fabian789,http://stackoverflow.com/users/482601/fabian789,5114
objective-c,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
objective-c,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
objective-c,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
objective-c,158049,NewbiZ,http://stackoverflow.com/users/158049/newbiz,1347
objective-c,669705,Nico AD,http://stackoverflow.com/users/669705/nico-ad,732
objective-c,1556228,Jared,http://stackoverflow.com/users/1556228/jared,398
objective-c,1913936,Timothy Swan,http://stackoverflow.com/users/1913936/timothy-swan,313
objective-c,271526,Gabe,http://stackoverflow.com/users/271526/gabe,132
objective-c,1725944,P-Rod,http://stackoverflow.com/users/1725944/p-rod,76
