tag,userId,userName,Link,Reputation
opencv,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
opencv,654203,Anthony,http://stackoverflow.com/users/654203/anthony,5599
opencv,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
opencv,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
opencv,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
opencv,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
opencv,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
opencv,49412,M456,http://stackoverflow.com/users/49412/m456,1438
opencv,2467772,batuman,http://stackoverflow.com/users/2467772/batuman,1366
opencv,2061989,Caspar Wylie,http://stackoverflow.com/users/2061989/caspar-wylie,1299
opencv,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
opencv,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
opencv,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
opencv,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
opencv,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
opencv,1092525,Snesticle,http://stackoverflow.com/users/1092525/snesticle,373
opencv,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
opencv,5194792,Anay Bose,http://stackoverflow.com/users/5194792/anay-bose,192
opencv,3272574,user3272574,http://stackoverflow.com/users/3272574/user3272574,183
opencv,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
opencv,4930565,hulkinBrain,http://stackoverflow.com/users/4930565/hulkinbrain,172
opencv,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
opencv,1957969,Dylan,http://stackoverflow.com/users/1957969/dylan,132
opencv,6307123,entercaspa,http://stackoverflow.com/users/6307123/entercaspa,128
opencv,5005052,Bill Ancalagon the black,http://stackoverflow.com/users/5005052/bill-ancalagon-the-black,110
opencv,3599381,OnurA,http://stackoverflow.com/users/3599381/onura,108
opencv,5583416,user27665,http://stackoverflow.com/users/5583416/user27665,101
opencv,5661795,HJGBAUM,http://stackoverflow.com/users/5661795/hjgbaum,98
opencv,4714631,dima,http://stackoverflow.com/users/4714631/dima,92
opencv,2224704,mohit gupta,http://stackoverflow.com/users/2224704/mohit-gupta,79
opencv,6743956,Imran Ibrahimi,http://stackoverflow.com/users/6743956/imran-ibrahimi,60
opencv,4933403,Bishwajit Purkaystha,http://stackoverflow.com/users/4933403/bishwajit-purkaystha,56
opencv,5577564,Kyle Hunter,http://stackoverflow.com/users/5577564/kyle-hunter,52
opencv,6278404,Solly,http://stackoverflow.com/users/6278404/solly,51
opencv,1071284,jos76,http://stackoverflow.com/users/1071284/jos76,47
opencv,4567247,salsa1025,http://stackoverflow.com/users/4567247/salsa1025,36
opencv,2679280,RYJ,http://stackoverflow.com/users/2679280/ryj,36
opencv,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
opencv,5782727,JC Bailey,http://stackoverflow.com/users/5782727/jc-bailey,21
opencv,4927939,Martin,http://stackoverflow.com/users/4927939/martin,11
opencv,7056453,Ben Smith,http://stackoverflow.com/users/7056453/ben-smith,1
opencv,5197677,egorvlgavr,http://stackoverflow.com/users/5197677/egorvlgavr,1
