tag,userId,userName,Link,Reputation
optimization,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
optimization,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
optimization,190280,Josh Bleecher Snyder,http://stackoverflow.com/users/190280/josh-bleecher-snyder,3686
optimization,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
optimization,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
optimization,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
optimization,103054,csiz,http://stackoverflow.com/users/103054/csiz,1464
optimization,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
optimization,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
optimization,6095474,Vermillion,http://stackoverflow.com/users/6095474/vermillion,208
optimization,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
optimization,3426927,Michael Hooreman,http://stackoverflow.com/users/3426927/michael-hooreman,193
optimization,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
optimization,6307123,entercaspa,http://stackoverflow.com/users/6307123/entercaspa,128
optimization,3965778,user27118,http://stackoverflow.com/users/3965778/user27118,127
optimization,443143,erik,http://stackoverflow.com/users/443143/erik,123
optimization,5768196,mvd,http://stackoverflow.com/users/5768196/mvd,117
optimization,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
optimization,5577564,Kyle Hunter,http://stackoverflow.com/users/5577564/kyle-hunter,52
optimization,5269892,bproxauf,http://stackoverflow.com/users/5269892/bproxauf,39
optimization,6934489,DPdl,http://stackoverflow.com/users/6934489/dpdl,29
optimization,5711393,jmparejaz,http://stackoverflow.com/users/5711393/jmparejaz,27
optimization,6293038,dayum,http://stackoverflow.com/users/6293038/dayum,23
optimization,5289209,A. Kwas,http://stackoverflow.com/users/5289209/a-kwas,2
