tag,userId,userName,Link,Reputation
osx,75033,John Mee,http://stackoverflow.com/users/75033/john-mee,21725
osx,133374,Albert,http://stackoverflow.com/users/133374/albert,20579
osx,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
osx,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
osx,482601,fabian789,http://stackoverflow.com/users/482601/fabian789,5114
osx,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
osx,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
osx,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
osx,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
osx,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
osx,1382869,nathan12343,http://stackoverflow.com/users/1382869/nathan12343,683
osx,819718,TimRich,http://stackoverflow.com/users/819718/timrich,504
osx,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
osx,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
osx,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
osx,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
osx,1957969,Dylan,http://stackoverflow.com/users/1957969/dylan,132
osx,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
osx,1725944,P-Rod,http://stackoverflow.com/users/1725944/p-rod,76
osx,5982950,Vacassal Alsk,http://stackoverflow.com/users/5982950/vacassal-alsk,72
osx,4384381,Salvatore Cosentino,http://stackoverflow.com/users/4384381/salvatore-cosentino,45
osx,3108267,andrea,http://stackoverflow.com/users/3108267/andrea,37
osx,5007758,Khalif21,http://stackoverflow.com/users/5007758/khalif21,16
osx,2933038,Joe,http://stackoverflow.com/users/2933038/joe,6
