tag,userId,userName,Link,Reputation
pandas,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
pandas,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
pandas,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
pandas,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
pandas,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
pandas,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
pandas,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
pandas,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
pandas,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
pandas,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
pandas,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
pandas,1112163,ajkumar25,http://stackoverflow.com/users/1112163/ajkumar25,3166
pandas,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
pandas,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
pandas,1609077,scls,http://stackoverflow.com/users/1609077/scls,2121
pandas,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
pandas,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
pandas,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
pandas,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
pandas,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
pandas,2666270,pceccon,http://stackoverflow.com/users/2666270/pceccon,1469
pandas,2821224,9blue,http://stackoverflow.com/users/2821224/9blue,1450
pandas,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
pandas,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
pandas,1005409,Muppet,http://stackoverflow.com/users/1005409/muppet,1092
pandas,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
pandas,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
pandas,1316501,bclayman,http://stackoverflow.com/users/1316501/bclayman,941
pandas,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
