tag,userId,userName,Link,Reputation
parallel-processing,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
parallel-processing,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
parallel-processing,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
parallel-processing,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
parallel-processing,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
parallel-processing,3437012,Bananach,http://stackoverflow.com/users/3437012/bananach,162
parallel-processing,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
parallel-processing,6161587,Robin Kramer,http://stackoverflow.com/users/6161587/robin-kramer,144
parallel-processing,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
parallel-processing,3716774,user3716774,http://stackoverflow.com/users/3716774/user3716774,87
parallel-processing,4759898,Chicony,http://stackoverflow.com/users/4759898/chicony,78
parallel-processing,5175044,tulians,http://stackoverflow.com/users/5175044/tulians,69
parallel-processing,5371682,umitarabul,http://stackoverflow.com/users/5371682/umitarabul,1
