tag,userId,userName,Link,Reputation
parsing,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
parsing,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
parsing,1496362,dorien,http://stackoverflow.com/users/1496362/dorien,1614
parsing,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
parsing,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
parsing,567879,user567879,http://stackoverflow.com/users/567879/user567879,1184
parsing,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
parsing,3604473,blaz,http://stackoverflow.com/users/3604473/blaz,594
parsing,5069802,Javier,http://stackoverflow.com/users/5069802/javier,301
parsing,5695018,Wintro,http://stackoverflow.com/users/5695018/wintro,173
parsing,3746632,ldmtwo,http://stackoverflow.com/users/3746632/ldmtwo,157
parsing,5111380,bikuser,http://stackoverflow.com/users/5111380/bikuser,152
parsing,6307123,entercaspa,http://stackoverflow.com/users/6307123/entercaspa,128
parsing,4948165,Eran Moshe,http://stackoverflow.com/users/4948165/eran-moshe,60
parsing,6317366,Carlton Banks,http://stackoverflow.com/users/6317366/carlton-banks,40
