tag,userId,userName,Link,Reputation
perl,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
perl,63550,Peter Mortensen,http://stackoverflow.com/users/63550/peter-mortensen,10332
perl,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
perl,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
perl,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
perl,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
perl,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
perl,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
perl,3147590,user3147590,http://stackoverflow.com/users/3147590/user3147590,167
perl,5175044,tulians,http://stackoverflow.com/users/5175044/tulians,69
perl,2657817,user2657817,http://stackoverflow.com/users/2657817/user2657817,32
perl,3568044,user3568044,http://stackoverflow.com/users/3568044/user3568044,29
