tag,userId,userName,Link,Reputation
python-3.x,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
python-3.x,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
python-3.x,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
python-3.x,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
python-3.x,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
python-3.x,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
python-3.x,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
python-3.x,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
python-3.x,2437514,Rick Teachey,http://stackoverflow.com/users/2437514/rick-teachey,7660
python-3.x,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
python-3.x,2966723,Joel,http://stackoverflow.com/users/2966723/joel,5112
python-3.x,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
python-3.x,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
python-3.x,974555,gerrit,http://stackoverflow.com/users/974555/gerrit,3469
python-3.x,1112163,ajkumar25,http://stackoverflow.com/users/1112163/ajkumar25,3166
python-3.x,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
python-3.x,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
python-3.x,2109064,Michael,http://stackoverflow.com/users/2109064/michael,2216
python-3.x,439325,joon,http://stackoverflow.com/users/439325/joon,1600
python-3.x,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
python-3.x,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
python-3.x,1112586,SCB,http://stackoverflow.com/users/1112586/scb,1263
python-3.x,4786305,Chichi,http://stackoverflow.com/users/4786305/chichi,1193
python-3.x,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
python-3.x,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
