tag,userId,userName,Link,Reputation
r,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
r,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
r,85514,Peter Smit,http://stackoverflow.com/users/85514/peter-smit,8636
r,316357,Curious2learn,http://stackoverflow.com/users/316357/curious2learn,6141
r,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
r,886669,yasar,http://stackoverflow.com/users/886669/yasar,3667
r,1133286,solvingPuzzles,http://stackoverflow.com/users/1133286/solvingpuzzles,3650
r,1724926,eran,http://stackoverflow.com/users/1724926/eran,3445
r,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
r,2605604,Simon,http://stackoverflow.com/users/2605604/simon,1788
r,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
r,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
r,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
r,1496362,dorien,http://stackoverflow.com/users/1496362/dorien,1614
r,439325,joon,http://stackoverflow.com/users/439325/joon,1600
r,1380285,bob.sacamento,http://stackoverflow.com/users/1380285/bob-sacamento,1544
r,4596596,ShanZhengYang,http://stackoverflow.com/users/4596596/shanzhengyang,1537
r,2666270,pceccon,http://stackoverflow.com/users/2666270/pceccon,1469
r,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
r,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
r,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
r,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
r,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
r,722695,Roby,http://stackoverflow.com/users/722695/roby,731
r,2734863,Dirk Haupt,http://stackoverflow.com/users/2734863/dirk-haupt,540
r,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
r,819718,TimRich,http://stackoverflow.com/users/819718/timrich,504
r,2986596,TNT,http://stackoverflow.com/users/2986596/tnt,431
r,4402407,tjb305,http://stackoverflow.com/users/4402407/tjb305,413
r,2780360,D8Amonk,http://stackoverflow.com/users/2780360/d8amonk,369
r,1705012,Thom Chubb,http://stackoverflow.com/users/1705012/thom-chubb,354
r,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
r,3426927,Michael Hooreman,http://stackoverflow.com/users/3426927/michael-hooreman,193
r,5998425,Edward,http://stackoverflow.com/users/5998425/edward,147
r,6161587,Robin Kramer,http://stackoverflow.com/users/6161587/robin-kramer,144
r,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
r,1957969,Dylan,http://stackoverflow.com/users/1957969/dylan,132
r,3341945,mflowww,http://stackoverflow.com/users/3341945/mflowww,125
r,5453723,Azfar Faizan,http://stackoverflow.com/users/5453723/azfar-faizan,100
r,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
r,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
r,5058507,Tang,http://stackoverflow.com/users/5058507/tang,86
r,3300849,user3300849,http://stackoverflow.com/users/3300849/user3300849,83
r,5718928,Michael Jancen-Widmer,http://stackoverflow.com/users/5718928/michael-jancen-widmer,65
r,4948165,Eran Moshe,http://stackoverflow.com/users/4948165/eran-moshe,60
r,2356181,FinanceGuyThatCantCode,http://stackoverflow.com/users/2356181/financeguythatcantcode,60
r,4226199,Seb ,http://stackoverflow.com/users/4226199/seb,47
r,4811722,David McCoy,http://stackoverflow.com/users/4811722/david-mccoy,41
r,6196696,M3105,http://stackoverflow.com/users/6196696/m3105,41
r,6379348,j.zheng,http://stackoverflow.com/users/6379348/j-zheng,35
r,6441544,Elliot Lee,http://stackoverflow.com/users/6441544/elliot-lee,33
r,2657817,user2657817,http://stackoverflow.com/users/2657817/user2657817,32
r,3492061,sumoka,http://stackoverflow.com/users/3492061/sumoka,32
r,6225259,Leon Berkers,http://stackoverflow.com/users/6225259/leon-berkers,21
r,4031498,Waseem Ali,http://stackoverflow.com/users/4031498/waseem-ali,1
