tag,userId,userName,Link,Reputation
scikit-learn,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
scikit-learn,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
scikit-learn,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
scikit-learn,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
scikit-learn,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
scikit-learn,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
scikit-learn,1179925,mrgloom,http://stackoverflow.com/users/1179925/mrgloom,2265
scikit-learn,1609077,scls,http://stackoverflow.com/users/1609077/scls,2121
scikit-learn,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
scikit-learn,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
scikit-learn,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
scikit-learn,2587904,Georg Heiler,http://stackoverflow.com/users/2587904/georg-heiler,955
scikit-learn,2424587,Hanan Shteingart,http://stackoverflow.com/users/2424587/hanan-shteingart,721
scikit-learn,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
scikit-learn,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
scikit-learn,4402407,tjb305,http://stackoverflow.com/users/4402407/tjb305,413
scikit-learn,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
scikit-learn,3377126,user3377126,http://stackoverflow.com/users/3377126/user3377126,368
scikit-learn,3813324,user65,http://stackoverflow.com/users/3813324/user65,178
scikit-learn,5719657,Rich,http://stackoverflow.com/users/5719657/rich,173
scikit-learn,5263412,swepab,http://stackoverflow.com/users/5263412/swepab,103
scikit-learn,5583416,user27665,http://stackoverflow.com/users/5583416/user27665,101
scikit-learn,5453723,Azfar Faizan,http://stackoverflow.com/users/5453723/azfar-faizan,100
scikit-learn,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
scikit-learn,4313321,Gilberto,http://stackoverflow.com/users/4313321/gilberto,69
scikit-learn,3571640,brokenseas,http://stackoverflow.com/users/3571640/brokenseas,66
scikit-learn,5061950,hiqbal,http://stackoverflow.com/users/5061950/hiqbal,42
scikit-learn,5550721,Daria Smirnova,http://stackoverflow.com/users/5550721/daria-smirnova,40
scikit-learn,6931248,matthew,http://stackoverflow.com/users/6931248/matthew,39
scikit-learn,5431568,Charles,http://stackoverflow.com/users/5431568/charles,35
scikit-learn,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
scikit-learn,5705270,Flow Nuwen,http://stackoverflow.com/users/5705270/flow-nuwen,28
scikit-learn,7081827,Andy,http://stackoverflow.com/users/7081827/andy,13
scikit-learn,6944197,fourth,http://stackoverflow.com/users/6944197/fourth,9
scikit-learn,6951270,aglaja,http://stackoverflow.com/users/6951270/aglaja,6
scikit-learn,7026461,whiteTea,http://stackoverflow.com/users/7026461/whitetea,1
