tag,userId,userName,Link,Reputation
scipy,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
scipy,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
scipy,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
scipy,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
scipy,143476,crippledlambda,http://stackoverflow.com/users/143476/crippledlambda,13073
scipy,572616,Woltan,http://stackoverflow.com/users/572616/woltan,7163
scipy,512652,ajwood,http://stackoverflow.com/users/512652/ajwood,3963
scipy,1791279,rth,http://stackoverflow.com/users/1791279/rth,3571
scipy,509205,CodeNoob,http://stackoverflow.com/users/509205/codenoob,3208
scipy,4838189,DevShark,http://stackoverflow.com/users/4838189/devshark,2784
scipy,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
scipy,1609077,scls,http://stackoverflow.com/users/1609077/scls,2121
scipy,863713,Brian,http://stackoverflow.com/users/863713/brian,1809
scipy,1078391,DanHickstein,http://stackoverflow.com/users/1078391/danhickstein,1747
scipy,297850,user297850,http://stackoverflow.com/users/297850/user297850,1745
scipy,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
scipy,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
scipy,439325,joon,http://stackoverflow.com/users/439325/joon,1600
scipy,2666270,pceccon,http://stackoverflow.com/users/2666270/pceccon,1469
scipy,2821224,9blue,http://stackoverflow.com/users/2821224/9blue,1450
scipy,49412,M456,http://stackoverflow.com/users/49412/m456,1438
scipy,5285918,lanery,http://stackoverflow.com/users/5285918/lanery,1090
scipy,785099,user785099,http://stackoverflow.com/users/785099/user785099,1039
scipy,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
scipy,6067364,Andromedae93,http://stackoverflow.com/users/6067364/andromedae93,693
scipy,1382869,nathan12343,http://stackoverflow.com/users/1382869/nathan12343,683
scipy,632242,Leszek,http://stackoverflow.com/users/632242/leszek,635
scipy,4393898,yusuf,http://stackoverflow.com/users/4393898/yusuf,627
scipy,442117,Shyamkkhadka,http://stackoverflow.com/users/442117/shyamkkhadka,606
scipy,3604473,blaz,http://stackoverflow.com/users/3604473/blaz,594
scipy,3660146,giosans,http://stackoverflow.com/users/3660146/giosans,593
scipy,993630,nicholaschris,http://stackoverflow.com/users/993630/nicholaschris,545
scipy,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
scipy,484944,Nick Alger,http://stackoverflow.com/users/484944/nick-alger,529
scipy,819718,TimRich,http://stackoverflow.com/users/819718/timrich,504
scipy,4050925,Pocin,http://stackoverflow.com/users/4050925/pocin,491
scipy,1529314,dmon,http://stackoverflow.com/users/1529314/dmon,449
scipy,3377691,VBB,http://stackoverflow.com/users/3377691/vbb,446
scipy,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
scipy,1556228,Jared,http://stackoverflow.com/users/1556228/jared,398
scipy,5597830,DarthLazar,http://stackoverflow.com/users/5597830/darthlazar,380
scipy,1705012,Thom Chubb,http://stackoverflow.com/users/1705012/thom-chubb,354
scipy,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
scipy,1598778,&#193;lvaro,http://stackoverflow.com/users/1598778/%c3%81lvaro,306
scipy,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
scipy,1715453,Joe Flip,http://stackoverflow.com/users/1715453/joe-flip,196
scipy,6811609,Whud,http://stackoverflow.com/users/6811609/whud,184
scipy,1513130,wizbcn,http://stackoverflow.com/users/1513130/wizbcn,164
scipy,3821012,user3821012,http://stackoverflow.com/users/3821012/user3821012,161
scipy,5768196,mvd,http://stackoverflow.com/users/5768196/mvd,117
scipy,4179599,Renzeee,http://stackoverflow.com/users/4179599/renzeee,115
scipy,1475412,user1475412,http://stackoverflow.com/users/1475412/user1475412,114
scipy,4566639,i-am-spartacus,http://stackoverflow.com/users/4566639/i-am-spartacus,96
scipy,3228542,Javier,http://stackoverflow.com/users/3228542/javier,95
scipy,3511819,AlexG,http://stackoverflow.com/users/3511819/alexg,92
scipy,2224704,mohit gupta,http://stackoverflow.com/users/2224704/mohit-gupta,79
scipy,4759645,heracho,http://stackoverflow.com/users/4759645/heracho,67
scipy,3571640,brokenseas,http://stackoverflow.com/users/3571640/brokenseas,66
scipy,4185468,uttam,http://stackoverflow.com/users/4185468/uttam,59
